symbol|open|high|low|preClose|close|activeLevel|change|changeRatio|openIntChange|openInterest|latestPriceVol|volume|delta|gamma|rho|theta|vega|tradeStamptradeTime|ask|avol|bid|bvol
GME211112C00100000||||110.00|110.00|30|0.00|0.0000|0|1|0|0|1.0000|0.0000|0.0027|-0.0003|0.0000||101.85|25|99.45|19
GME211112P00100000||||0.01|0.01|30|0.00|0.0000|0|824|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|100|0.00|0
GME211112C00110000||||90.85|90.85|29|0.00|0.0000|0|0|0|0|1.0000|0.0000|0.0030|-0.0003|0.0000||91.85|25|89.45|19
GME211112P00110000|0.01|0.01|0.01|0.01|0.01|29|0.00|0.0000|0|93|5|5|-0.0019|0.0001|-0.0002|-0.0074|0.0027||0.01|100|0.00|0
GME211112C00115000||||||28|||0|0|0|0|0.9976|0.0002|0.0565|-0.0090|0.0034||86.85|25|84.45|19
GME211112P00115000||||0.01|0.01|28|0.00|0.0000|10|91|0|0|-0.0027|0.0002|-0.0003|-0.0095|0.0037||0.01|100|0.00|0
GME211112C00120000||||90.00|90.00|27|0.00|0.0000|0|3|0|0|0.9964|0.0003|0.0588|-0.0122|0.0048||81.85|25|79.45|19
GME211112P00120000||||0.04|0.04|27|0.00|0.0000|0|72|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|100|0.00|0
GME211112C00125000||||83.80|83.80|26|0.00|0.0000|-1|1|0|0|1.0000|0.0000|0.0034|-0.0003|0.0000||76.85|26|74.45|20
GME211112P00125000|0.01|0.01|0.01|0.03|0.01|26|-0.02|-0.6667|12|30|1|1|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|1|0.00|0
GME211112C00130000||||77.24|77.24|25|0.00|0.0000|0|2|0|0|1.0000|0.0000|0.0036|-0.0003|0.0000||71.85|26|69.45|20
GME211112P00130000||||0.01|0.01|25|0.00|0.0000|-15|41|0|0|-0.0092|0.0006|-0.0010|-0.0265|0.0110||0.02|3|0.00|0
GME211112C00135000||||103.56|103.56|24|0.00|0.0000|0|0|0|0|1.0000|0.0000|0.0037|-0.0004|0.0000||66.85|26|64.45|20
GME211112P00135000|0.01|0.02|0.01|0.01|0.02|24|0.01|1.0000|-5|615|2|7|0.0000|0.0000|0.0000|0.0000|0.0000||0.02|4|0.00|0
GME211112C00140000||||76.07|76.07|23|0.00|0.0000|0|44|0|0|1.0000|0.0000|0.0038|-0.0004|0.0000||61.85|26|59.45|20
GME211112P00140000|0.02|0.05|0.02|0.03|0.05|23|0.02|0.6667|-13|417|3|4|0.0000|0.0000|0.0000|0.0000|0.0000||0.03|10|0.00|0
GME211112C00145000||||57.83|57.83|22|0.00|0.0000|-1|0|0|0|1.0000|0.0000|0.0040|-0.0004|0.0000||56.85|26|54.45|20
GME211112P00145000||||0.03|0.03|22|0.00|0.0000|1|580|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.04|14|0.00|0
GME211112C00150000|56.70|56.70|53.85|55.51|53.85|21|-1.66|-0.0299|-5|190|1|11|1.0000|0.0000|0.0041|-0.0004|0.0000||51.85|26|49.50|25
GME211112P00150000|0.02|0.03|0.01|0.04|0.01|21|-0.03|-0.7500|36|1073|4|35|-0.0444|0.0026|-0.0048|-0.0949|0.0419||0.02|10|0.00|0
GME211112C00152500||||52.18|52.18|20|0.00|0.0000|0|2|0|0|0.7986|0.0011|0.0263|-1.9186|0.1254||49.35|25|46.95|20
GME211112P00152500|0.02|0.02|0.01|0.05|0.01|20|-0.04|-0.8000|2|528|1|2|-0.0013|0.0002|0.0000|-0.0389|0.0004||0.05|16|0.00|0
GME211112C00155000|48.83|48.83|48.83|58.88|48.83|19|-10.05|-0.1707|-4|3|1|1|1.0000|0.0000|0.0042|-0.0004|0.0000||46.85|26|44.45|22
GME211112P00155000|0.01|0.01|0.01|0.05|0.01|19|-0.04|-0.8000|72|492|4|4|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|1|0.00|0
GME211112C00157500||||||18||||0|0|0|1.0000|0.0000|0.0043|-0.0004|0.0000||44.35|25|41.95|21
GME211112P00157500||||0.10|0.10|18|0.00|0.0000|-1|21|0|0|-0.0104|0.0013|-0.0001|-0.2969|0.0029||0.04|6|0.00|0
GME211112C00160000|39.19|39.19|39.10|47.65|39.17|17|-8.48|-0.1780|-11|164|3|5|1.0000|0.0000|0.0044|-0.0004|0.0000||41.85|26|39.50|25
GME211112P00160000|0.04|0.04|0.02|0.07|0.02|17|-0.05|-0.7143|-21|1110|20|28|0.0000|0.0000|0.0000|0.0000|0.0000||0.02|1|0.00|0
GME211112C00162500||||20.90|20.90|16|0.00|0.0000|0|3|0|0|1.0000|0.0000|0.0045|-0.0004|0.0000||39.35|22|36.95|22
GME211112P00162500|0.01|0.01|0.01|0.09|0.01|16|-0.08|-0.8889|4|42|1|3|-0.0014|0.0003|0.0000|-0.0338|0.0005||0.03|6|0.00|0
GME211112C00165000|37.00|37.00|36.47|39.50|36.47|15|-3.03|-0.0767|-24|15|3|6|1.0000|0.0000|0.0045|-0.0005|0.0000||36.85|24|34.35|25
GME211112P00165000|0.02|0.06|0.01|0.09|0.01|15|-0.08|-0.8889|48|743|2|19|0.0000|0.0000|0.0000|0.0000|0.0000||0.06|107|0.01|1
GME211112C00167500||||49.50|49.50|14|0.00|0.0000|-1|2|0|0|0.7392|0.0038|0.0027|-13.7556|0.0341||34.35|23|31.80|26
GME211112P00167500|0.03|0.03|0.01|0.09|0.01|14|-0.08|-0.8889|20|54|1|4|-0.0014|0.0004|0.0000|-0.0282|0.0005||0.05|17|0.01|1
GME211112C00170000|33.64|34.21|30.00|36.18|30.00|13|-6.18|-0.1708|-6|39|2|6|0.8662|0.0066|0.0578|-0.2360|0.0879||31.85|23|29.55|20
GME211112P00170000|0.05|0.05|0.01|0.09|0.01|13|-0.08|-0.8889|30|588|1|207|-0.1559|0.0066|-0.0170|-0.2412|0.1067||0.06|21|0.00|0
GME211112C00172500||||75.15|75.15|12|0.00|0.0000|0|12|0|0|0.7105|0.0035|0.0025|-16.8696|0.0359||29.40|24|26.90|23
GME211112P00172500||||0.18|0.18|12|0.00|0.0000|-1|136|0|0|-0.0229|0.0035|-0.0001|-0.4212|0.0057||0.08|29|0.01|3
GME211112C00175000|29.43|29.55|24.94|31.45|26.10|11|-5.35|-0.1701|-12|77|2|12|0.8058|0.0077|0.0650|-0.2731|0.1226||26.90|26|24.45|30
GME211112P00175000|0.01|0.06|0.01|0.13|0.01|11|-0.12|-0.9231|55|563|1|15|-0.1806|0.0080|-0.0163|-0.2897|0.1070||0.05|5|0.01|10
GME211112C00177500|26.92|26.92|26.92|30.25|26.92|10|-3.33|-0.1101|-15|29|1|1|0.7931|0.0085|0.0036|-4.8253|0.0300||24.40|37|22.25|24
GME211112P00177500|0.16|0.16|0.05|0.17|0.05|10|-0.12|-0.7059|14|157|1|6|-0.2515|0.0072|-0.0286|-0.3919|0.1422||0.08|27|0.01|32
GME211112C00180000|23.44|24.12|17.55|23.62|21.22|9|-2.40|-0.1016|-9|376|4|76|0.9956|0.0015|0.0049|-0.0550|0.0014||21.00|5|19.75|48
GME211112P00180000|0.10|0.16|0.03|0.13|0.05|9|-0.08|-0.6154|-68|1102|10|285|-0.0051|0.0017|0.0000|-0.0636|0.0016||0.07|9|0.04|10
GME211112C00182500||||22.60|22.60|8|0.00|0.0000|-16|180|0|0|0.6770|0.0030|0.0331|-1.4540|0.1460||19.40|47|17.20|22
GME211112P00182500|0.14|0.14|0.06|0.27|0.06|8|-0.21|-0.7778|7|246|4|22|-0.0109|0.0034|-0.0001|-0.1214|0.0030||0.10|26|0.02|40
GME211112C00185000|17.80|17.80|13.29|19.69|16.03|7|-3.66|-0.1859|-7|245|1|31|0.9737|0.0071|0.0049|-0.2624|0.0064||16.90|35|14.80|51
GME211112P00185000|0.20|0.20|0.05|0.22|0.06|7|-0.16|-0.7273|82|1056|9|79|-0.0297|0.0077|-0.0002|-0.2953|0.0071||0.08|11|0.03|11
GME211112C00187500|13.04|13.04|12.00|17.58|12.00|6|-5.58|-0.3174|3|37|2|4|0.8627|0.0171|0.0044|-1.4093|0.0231||14.45|22|12.15|39
GME211112P00187500|0.18|0.22|0.08|0.25|0.08|6|-0.17|-0.6800|79|519|1|20|-0.0173|0.0066|-0.0001|-0.1389|0.0045||0.11|6|0.05|17
GME211112C00190000|13.95|13.95|8.00|15.19|10.00|5|-5.19|-0.3417|6|343|1|17|0.8982|0.0203|0.0046|-0.7792|0.0187||12.30|43|9.70|49
GME211112P00190000|0.30|0.30|0.08|0.27|0.10|5|-0.17|-0.6296|-293|1079|1|541|-0.1021|0.0200|-0.0006|-0.7922|0.0187||0.13|6|0.09|10
GME211112C00192500|9.90|10.15|9.75|13.77|9.77|4|-4.00|-0.2905|25|75|24|38|0.6140|0.0074|0.0405|-0.6634|0.1556||9.75|31|7.10|43
GME211112P00192500|0.24|0.45|0.18|0.33|0.18|4|-0.15|-0.4545|95|536|2|168|-0.3272|0.0168|-0.0348|-0.2155|0.1609||0.21|10|0.14|14
GME211112C00195000|7.60|10.25|4.00|8.92|5.55|3|-3.37|-0.3778|-8|249|1|69|0.7506|0.0362|0.0039|-1.3895|0.0333||6.00|1|5.05|10
GME211112P00195000|0.45|0.86|0.22|0.43|0.36|3|-0.07|-0.1628|195|646|20|713|-0.4016|0.0101|-0.0458|-0.4095|0.1724||0.43|11|0.30|15
GME211112C00197500|7.13|7.25|2.26|7.25|3.75|2|-3.50|-0.4828|18|135|2|75|0.7673|0.0662|0.0041|-0.7061|0.0321||4.35|16|3.10|27
GME211112P00197500|0.48|1.75|0.44|0.56|0.72|2|0.16|0.2857|-101|285|2|629|-0.2180|0.0682|-0.0012|-0.6361|0.0310||0.82|2|0.67|1
GME211112C00200000|4.80|5.75|1.10|5.20|2.03|1|-3.17|-0.6096|99|997|2|989|0.5445|0.0449|0.0029|-1.7516|0.0417||2.27|5|1.96|14
GME211112P00200000|1.79|3.10|0.60|0.91|1.60|1|0.69|0.7582|-3|1825|2|1051|-0.4564|0.0435|-0.0026|-1.8067|0.0417||1.80|1|1.43|15
GME211112C00202500|2.23|3.70|0.54|3.45|1.11|1|-2.34|-0.6783|65|281|4|574|0.3619|0.0804|0.0020|-0.8738|0.0394||1.22|5|0.98|15
GME211112P00202500|1.96|5.15|1.25|1.76|2.80|1|1.04|0.5909|37|555|4|247|-0.6594|0.0907|-0.0037|-0.7408|0.0385||3.35|5|2.72|15
GME211112C00205000|1.50|2.82|0.30|2.28|0.66|2|-1.62|-0.7105|169|652|1|1611|0.3256|0.0397|0.0017|-1.6331|0.0378||0.60|1|0.55|1
GME211112P00205000|4.19|7.15|2.40|2.98|5.05|2|2.07|0.6946|58|690|2|269|-0.5035|0.0102|-0.0587|-0.4332|0.1779||5.55|1|4.70|15
GME211112C00207500|1.00|1.61|0.25|1.51|0.35|3|-1.16|-0.7682|211|382|1|569|0.1660|0.0365|0.0009|-0.8501|0.0262||0.42|10|0.32|1
GME211112P00207500|5.85|7.50|3.90|4.75|7.50|3|2.75|0.5789|-45|146|1|11|-0.9288|0.0305|-0.0053|-0.3033|0.0143||8.40|20|6.55|17
GME211112C00210000|0.65|1.25|0.18|1.06|0.24|4|-0.82|-0.7736|237|1529|4|712|0.1687|0.0271|0.0009|-1.1709|0.0264||0.33|15|0.21|9
GME211112P00210000|8.50|13.00|6.35|6.98|10.00|4|3.02|0.4327|-93|617|2|137|-0.8230|0.0270|-0.0048|-1.2469|0.0273||10.80|25|9.00|15
GME211112C00212500|0.40|0.95|0.15|0.75|0.20|5|-0.55|-0.7333|50|300|1|214|0.0917|0.0193|0.0005|-0.7010|0.0173||0.24|5|0.17|13
GME211112P00212500|9.85|12.23|9.85|9.65|12.20|5|2.55|0.2642|-7|162|1|48|-0.9413|0.0163|-0.0055|-0.4201|0.0123||13.20|15|11.30|15
GME211112C00215000|0.69|0.69|0.13|0.60|0.18|6|-0.42|-0.7000|61|1077|2|271|0.0726|0.0147|0.0004|-0.6462|0.0145||0.18|9|0.16|9
GME211112P00215000|14.32|17.39|14.25|11.30|14.70|6|3.40|0.3009|-52|209|5|23|-0.9167|0.0157|-0.0054|-0.7472|0.0161||15.40|17|13.80|15
GME211112C00217500|0.54|0.54|0.10|0.52|0.17|7|-0.35|-0.6731|84|279|1|185|0.0601|0.0117|0.0003|-0.6059|0.0125||0.19|34|0.14|1
GME211112P00217500|15.85|20.50|15.85|12.64|16.35|7|3.71|0.2935|0|139|4|10|-0.9661|0.0087|-0.0058|-0.3263|0.0079||18.05|19|15.80|25
GME211112C00220000|0.30|0.51|0.09|0.49|0.12|8|-0.37|-0.7551|188|3413|2|651|0.0263|0.0065|0.0001|-0.2868|0.0064||0.13|1|0.10|16
GME211112P00220000|17.24|22.00|17.24|16.49|19.45|8|2.96|0.1795|-26|347|1|24|-0.6508|0.0097|-0.0649|-0.4715|0.1505||20.40|17|18.30|27
GME211112C00222500|0.25|0.40|0.08|0.33|0.12|9|-0.21|-0.6364|86|570|2|465|0.3925|0.0075|0.0327|-0.5490|0.1714||0.16|16|0.09|8
GME211112P00222500|22.45|22.45|22.21|18.29|22.21|9|3.92|0.2143|0|53|1|4|-0.9731|0.0059|-0.0060|-0.3274|0.0065||23.30|27|20.70|26
GME211112C00225000|0.10|0.35|0.06|0.38|0.08|10|-0.30|-0.7895|91|1302|1|443|0.0089|0.0025|0.0000|-0.1162|0.0025||0.13|5|0.08|9
GME211112P00225000|22.50|26.80|22.50|21.08|24.36|10|3.28|0.1556|-5|161|1|13|-0.9876|0.0032|-0.0061|-0.1615|0.0034||25.80|27|23.20|25
GME211112C00227500|0.20|0.20|0.07|0.36|0.09|11|-0.27|-0.7500|181|386|1|40|0.3554|0.0074|0.0249|-0.6292|0.1515||0.10|11|0.05|16
GME211112P00227500||||25.48|25.48|11|0.00|0.0000|3|9|0|0|-0.9371|0.0077|-0.0059|-0.9869|0.0130||27.90|17|25.70|25
GME211112C00230000|0.32|0.32|0.05|0.31|0.10|12|-0.21|-0.6774|73|1357|1|253|0.2914|0.0082|0.0255|-0.3979|0.1530||0.11|6|0.06|14
GME211112P00230000|27.26|29.43|27.26|25.00|29.37|12|4.37|0.1748|7|100|1|38|-0.9959|0.0012|-0.0063|-0.0618|0.0013||30.40|17|28.30|22
GME211112C00232500|0.13|0.13|0.06|0.25|0.06|13|-0.19|-0.7600|68|211|1|44|0.0199|0.0034|0.0001|-0.3406|0.0051||0.10|7|0.05|15
GME211112P00232500||||32.60|32.60|13|0.00|0.0000|0|9|0|0|-0.9603|0.0052|-0.0062|-0.7014|0.0090||33.25|26|30.70|27
GME211112C00235000|0.30|0.30|0.05|0.27|0.05|14|-0.22|-0.8148|-22|581|1|55|0.2604|0.0077|0.0228|-0.3812|0.1447||0.07|1|0.05|9
GME211112P00235000|32.48|35.65|32.48|32.95|35.65|14|2.70|0.0819|7|120|1|51|-0.9986|0.0004|-0.0064|-0.0227|0.0005||35.40|17|33.20|24
GME211112C00237500|0.32|0.32|0.04|0.21|0.04|15|-0.17|-0.8095|-9|154|1|7|0.3256|0.0063|0.0225|-0.6839|0.1465||0.08|5|0.04|15
GME211112P00237500|35.07|35.07|35.07|26.70|35.07|15|8.37|0.3135|0|14|1|1|-0.9927|0.0015|-0.0065|-0.1368|0.0021||38.25|26|35.65|25
GME211112C00240000|0.02|0.08|0.02|0.17|0.05|16|-0.12|-0.7059|585|1999|1|124|0.0003|0.0001|0.0000|-0.0053|0.0001||0.05|1|0.04|7
GME211112P00240000||||35.00|35.00|16|0.00|0.0000|0|52|0|0|-0.7778|0.0072|-0.0823|-0.4104|0.1211||40.70|25|38.15|25
GME211112C00245000|0.12|0.12|0.02|0.16|0.04|17|-0.12|-0.7500|-68|709|1|100|0.0001|0.0000|0.0000|-0.0016|0.0000||0.05|3|0.03|14
GME211112P00245000||||42.65|42.65|17|0.00|0.0000|0|43|0|0|-0.7789|0.0066|-0.1015|-0.3733|0.1324||45.75|26|43.15|23
GME211112C00250000|0.11|0.15|0.02|0.14|0.03|18|-0.11|-0.7857|284|3433|8|413|0.0000|0.0000|0.0000|-0.0003|0.0000||0.06|18|0.03|27
GME211112P00250000||||44.44|44.44|18|0.00|0.0000|-1|49|0|0|-1.0000|0.0000|-0.0068|-0.0003|0.0000||50.55|20|48.15|24
GME211112C00255000|0.08|0.08|0.01|0.08|0.01|19|-0.07|-0.8750|17|588|1|210|0.1729|0.0056|0.0153|-0.3226|0.1141||0.05|5|0.02|12
GME211112P00255000||||51.80|51.80|19|0.00|0.0000|0|19|0|0|-1.0000|0.0000|-0.0070|0.0004|0.0000||55.55|20|53.15|26
GME211112C00260000|0.05|0.09|0.01|0.14|0.03|20|-0.11|-0.7857|1114|3222|20|288|0.0000|0.0000|0.0000|0.0000|0.0000||0.04|1|0.01|19
GME211112P00260000||||55.22|55.22|20|0.00|0.0000|0|8|0|0|-0.8277|0.0052|-0.1131|-0.3442|0.1138||60.55|20|58.15|26
GME211112C00265000|0.03|0.05|0.02|0.04|0.03|21|-0.01|-0.2500|-4|274|1|16|0.1441|0.0048|0.0127|-0.2977|0.1012||0.06|5|0.03|4
GME211112P00265000||||51.00|51.00|21|0.00|0.0000|0|0|0|0|-1.0000|0.0000|-0.0073|0.0007|0.0000||65.55|20|63.15|26
GME211112C00270000|0.08|0.13|0.01|0.07|0.03|22|-0.04|-0.5714|0|769|1|38|0.0000|0.0000|0.0000|0.0000|0.0000||0.06|19|0.01|3
GME211112P00270000|68.70|68.70|68.70|60.16|68.70|22|8.54|0.1420|0|2|1|1|-1.0000|0.0000|-0.0074|0.0007|0.0000||70.55|20|68.15|22
GME211112C00280000|0.02|0.05|0.01|0.05|0.02|23|-0.03|-0.6000|-16|473|1|89|0.0000|0.0000|0.0000|0.0000|0.0000||0.04|2|0.03|3
GME211112P00280000||||||23|||0|0|0|0|-1.0000|0.0000|-0.0077|0.0007|0.0000||80.55|20|78.15|23
GME211112C00290000|0.01|0.05|0.01|0.03|0.01|24|-0.02|-0.6667|475|953|1|61|0.0000|0.0000|0.0000|0.0000|0.0000||0.05|126|0.00|0
GME211112P00290000||||||24|||0|0|0|0|-1.0000|0.0000|-0.0079|0.0008|0.0000||90.55|19|88.15|22
GME211112C00300000|0.03|0.04|0.01|0.05|0.02|25|-0.03|-0.6000|-41|3042|5|349|0.0664|0.0026|0.0049|-0.2133|0.0525||0.02|1|0.01|16
GME211112P00300000||||96.00|96.00|25|0.00|0.0000|0|22|0|0|-1.0000|0.0000|-0.0082|0.0008|0.0000||100.55|19|98.15|22
GME211112C00310000|0.01|0.03|0.01|0.04|0.03|26|-0.01|-0.2500|-14|750|3|50|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|1|0.00|0
GME211112P00310000||||100.58|100.58|26|0.00|0.0000|0|2|0|0|-1.0000|0.0000|-0.0085|0.0008|0.0000||110.55|19|108.15|22
GME211112C00320000|0.02|0.06|0.01|0.05|0.01|27|-0.04|-0.8000|-12|1336|1|287|0.0000|0.0000|0.0000|0.0000|0.0000||0.05|14|0.00|0
GME211112P00320000||||99.20|99.20|27|0.00|0.0000|0|0|0|0|-0.9535|0.0019|-0.1280|-0.1670|0.0396||120.55|19|118.15|22
GME211112C00330000|0.01|0.03|0.01|0.03|0.01|28|-0.02|-0.6667|52|986|1|5|0.0411|0.0017|0.0031|-0.1565|0.0358||0.01|12|0.00|0
GME211112P00330000||||117.45|117.45|28|0.00|0.0000|0|1|0|0|-0.9597|0.0016|-0.1326|-0.1524|0.0353||130.55|19|128.15|22
GME211112C00340000|0.01|0.02|0.01|0.03|0.01|29|-0.02|-0.6667|-8|1057|1|37|0.0356|0.0014|0.0026|-0.1424|0.0319||0.01|1|0.00|0
GME211112P00340000||||123.78|123.78|29|0.00|0.0000|0|42|0|0|-0.9658|0.0014|-0.1372|-0.1360|0.0309||140.55|20|138.15|22
GME211112C00350000|0.01|0.04|0.01|0.03|0.01|30|-0.02|-0.6667|-21|1893|1|63|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|9|0.00|0
GME211112P00350000||||138.20|138.20|30|0.00|0.0000|0|3|0|0|-1.0000|0.0000|-0.0096|0.0009|0.0000||150.55|20|148.15|22
GME211112C00360000|0.01|0.01|0.01|0.02|0.01|31|-0.01|-0.5000|-10|1222|1|1|0.0013|0.0001|0.0000|-0.0777|0.0004||0.05|8|0.00|0
GME211112P00360000||||||31||||0|0|0|-1.0000|0.0000|-0.0099|0.0009|0.0000||160.55|20|158.15|22
GME211112C00370000|0.02|0.02|0.01|0.02|0.01|32|-0.01|-0.5000|-10|896|2|117|0.0012|0.0001|0.0000|-0.0784|0.0004||0.01|65|0.00|0
GME211112P00370000||||175.72|175.72|32|0.00|0.0000|0|50|0|0|-0.8534|0.0024|-0.0095|-10.9330|0.0241||170.55|20|168.15|22
GME211112C00380000||||0.02|0.02|33|0.00|0.0000|-2|147|0|0|0.0020|0.0001|0.0000|-0.1362|0.0007||0.03|1|0.00|0
GME211112P00380000||||||33||||0|0|0|-1.0000|0.0000|-0.0104|0.0010|0.0000||180.55|20|178.15|22
GME211112C00390000|0.01|0.01|0.01|0.01|0.01|34|0.00|0.0000|-1|128|1|2|0.0011|0.0001|0.0000|-0.0789|0.0004||0.03|6|0.00|0
GME211112P00390000||||||34||||0|0|0|-1.0000|0.0000|-0.0107|0.0010|0.0000||190.55|20|188.15|22
GME211112C00400000|0.01|0.01|0.01|0.02|0.01|35|-0.01|-0.5000|67|831|2|10|0.3442|0.0022|0.0176|-2.0685|0.1497||0.01|9|0.00|0
GME211112P00400000||||||35||||0|0|0|-1.0000|0.0000|-0.0110|0.0010|0.0000||200.55|20|198.15|22
GME211112C00410000|0.01|0.01|0.01|0.05|0.01|36|-0.04|-0.8000|0|98|1|1|0.3477|0.0021|0.0176|-2.1411|0.1503||0.03|6|0.00|0
GME211112P00410000||||||36||||0|0|0|-1.0000|0.0000|-0.1685|0.0011|0.0000||210.55|20|208.15|22
GME211112C00420000|0.01|0.01|0.01|0.01|0.01|37|0.00|0.0000|-6|846|20|30|0.0010|0.0001|0.0000|-0.0765|0.0003||0.01|2|0.00|0
GME211112P00420000||||202.53|202.53|37|0.00|0.0000|0|3|0|0|-1.0000|0.0000|-0.0115|0.0011|0.0000||220.55|20|218.15|22
GME211112C00430000|0.01|0.01|0.01|0.04|0.01|38|-0.03|-0.7500|0|28|100|100|0.0010|0.0001|0.0000|-0.0777|0.0003||0.01|109|0.00|0
GME211112P00430000||||||38||||0|0|0|-1.0000|0.0000|-0.0118|0.0011|0.0000||230.55|16|228.10|10
