symbol|open|high|low|preClose|close|activeLevel|change|changeRatio|openIntChange|openInterest|latestPriceVol|volume|delta|gamma|rho|theta|vega|tradeStamptradeTime|ask|avol|bid|bvol
GME220422C00020000||||||50|||0|0|0|0|1.0000|0.0000|0.0000|-0.0232|0.0000||124.15|80|120.95|81
GME220422P00020000|0.01|0.01|0.01|0.02|0.01|50|-0.01|-0.5000|0|306|1|3|-0.0001|0.0000|0.0000|-0.0021|0.0001||0.01|20|0.00|0
GME220422C00025000||||||50|||0|0|0|0|1.0000|0.0000|0.0000|-0.0232|0.0000||119.15|79|115.70|81
GME220422P00025000||||0.15|0.15|50|||0|76|0|0|-0.0002|0.0000|0.0000|-0.0028|0.0001||0.02|250|0.00|0
GME220422C00030000||||||50|||0|0|0|0|1.0000|0.0000|0.0000|-0.0232|0.0000||114.15|79|110.90|77
GME220422P00030000||||0.05|0.05|50|||0|21|0|0|-0.0002|0.0000|0.0000|-0.0038|0.0001||0.02|250|0.00|0
GME220422C00035000||||||50|||0|0|0|0|1.0000|0.0000|0.0000|-0.0232|0.0000||109.15|79|105.95|77
GME220422P00035000||||0.03|0.03|50|||0|135|0|0|-0.0003|0.0000|0.0000|-0.0049|0.0002||0.03|252|0.00|0
GME220422C00040000||||||50|||0|0|0|0|1.0000|0.0000|0.0000|-0.0232|0.0000||104.15|80|100.55|84
GME220422P00040000||||0.01|0.01|50|||0|269|0|0|-0.0005|0.0000|0.0000|-0.0063|0.0002||0.03|252|0.00|0
GME220422C00045000||||142.00|142.00|50|||0|0|0|0|1.0000|0.0000|0.0000|-0.0232|0.0000||99.15|79|95.95|81
GME220422P00045000|0.02|0.02|0.02|0.01|0.02|50|0.01|1.0000|0|227|1|2|-0.0006|0.0000|0.0000|-0.0079|0.0003||0.02|5|0.00|0
GME220422C00050000||||||50|||0|0|0|0|0.9999|0.0000|0.0000|-0.0232|0.0000||94.15|80|90.95|81
GME220422P00050000||||0.01|0.01|50|||1|169|0|0|-0.0008|0.0001|0.0000|-0.0097|0.0004||0.04|250|0.00|0
GME220422C00055000||||||50|||0|0|0|0|0.9998|0.0000|0.0000|-0.0232|0.0000||89.15|79|85.90|78
GME220422P00055000||||0.10|0.10|50|||0|12|0|0|-0.0011|0.0001|0.0000|-0.0120|0.0005||0.05|250|0.00|0
GME220422C00060000||||||50|||0|0|0|0|0.9996|0.0001|0.0000|-0.0232|0.0000||84.15|80|81.00|87
GME220422P00060000|0.03|0.05|0.03|0.05|0.04|50|-0.01|-0.2000|0|68|20|41|-0.0014|0.0001|0.0000|-0.0146|0.0007||0.05|230|0.00|0
GME220422C00065000||||||50|||0|0|0|0|0.9993|0.0002|0.0003|-0.0240|0.0003||79.15|79|75.95|80
GME220422P00065000||||0.24|0.24|50|||0|115|0|0|-0.0019|0.0001|0.0000|-0.0178|0.0009||0.05|1|0.00|0
GME220422C00070000||||83.00|83.00|50|||0|1|0|0|0.9989|0.0002|0.0007|-0.0258|0.0005||74.15|80|71.15|81
GME220422P00070000||||0.04|0.04|50|||5|119|0|0|-0.0025|0.0002|0.0000|-0.0215|0.0011||0.04|5|0.01|2
GME220422C00075000||||49.00|49.00|50|||0|1|0|0|0.9982|0.0003|0.0010|-0.0288|0.0008||69.15|80|66.10|88
GME220422P00075000||||0.04|0.04|50|||0|122|0|0|-0.0032|0.0003|-0.0001|-0.0260|0.0014||0.04|5|0.01|23
GME220422C00080000||||72.15|72.15|50|||0|1|0|0|0.9972|0.0004|0.0014|-0.0333|0.0012||64.15|80|60.80|81
GME220422P00080000|0.05|0.05|0.03|0.04|0.03|50|-0.01|-0.2500|3|191|3|4|-0.0042|0.0004|-0.0001|-0.0314|0.0018||0.05|1|0.02|23
GME220422C00081000||||||50|||0|0|0|0|0.9970|0.0004|0.0015|-0.0345|0.0013||63.15|79|59.95|80
GME220422P00081000|0.04|0.04|0.04|0.09|0.04|50|-0.05|-0.5556|0|21|1|1|-0.0044|0.0004|-0.0001|-0.0326|0.0019||0.06|1|0.03|12
GME220422C00082000||||||50|||0|0|0|0|0.9968|0.0005|0.0016|-0.0357|0.0014||62.15|79|58.95|80
