symbol|open|high|low|preClose|close|activeLevel|change|changeRatio|openIntChange|openInterest|latestPriceVol|volume|delta|gamma|rho|theta|vega|tradeStamptradeTime|ask|avol|bid|bvol
GME211223C00070000|84.01|84.01|84.01|84.01|84.01|28|0.00|0.0000|0|0|1|1|0.9351|0.0013|0.0062|-1.5170|0.0199||82.75|12|79.05|13
GME211223P00070000|0.15|0.15|0.04|0.05|0.06|28|0.01|0.2000|37|811|4|86|-0.0035|0.0002|-0.0001|-0.0596|0.0017||0.06|4|0.05|476
GME211223C00075000||||||27||||0|0|0|1.0000|0.0000|0.0082|-0.0003|0.0000||77.75|12|74.15|17
GME211223P00075000|0.25|0.25|0.07|0.11|0.07|27|-0.04|-0.3636|1|80|1|6|-0.0044|0.0003|-0.0001|-0.0675|0.0020||0.08|2|0.06|4
GME211223C00080000|78.45|78.45|78.45|69.65|78.45|26|8.80|0.1263|0|1|1|1|0.8910|0.0017|0.0061|-2.5368|0.0294||72.80|12|69.25|17
GME211223P00080000|0.10|0.13|0.10|0.16|0.10|26|-0.06|-0.3750|244|318|1|53|-0.0063|0.0004|-0.0001|-0.0892|0.0028||0.11|7|0.09|4
GME211223C00085000||||60.37|60.37|25|0.00|0.0000|-1|0|0|0|1.0000|0.0000|0.0093|-0.0003|0.0000||67.85|12|64.25|17
GME211223P00085000|0.15|0.15|0.15|0.20|0.15|25|-0.05|-0.2500|2|57|1|1|-0.0095|0.0007|-0.0002|-0.1231|0.0040||0.13|2|0.12|2
GME211223C00090000||||||24||||0|0|0|1.0000|0.0000|0.0099|-0.0003|0.0000||62.90|12|59.55|16
GME211223P00090000|0.28|0.28|0.13|0.27|0.18|24|-0.09|-0.3333|283|700|19|67|-0.0120|0.0009|-0.0002|-0.1402|0.0049||0.16|2|0.15|7
GME211223C00095000||||||23||||0|0|0|1.0000|0.0000|0.0104|-0.0003|0.0000||57.95|18|54.60|16
GME211223P00095000|0.37|0.37|0.19|0.33|0.19|23|-0.14|-0.4242|43|87|1|4|-0.0137|0.0011|-0.0002|-0.1435|0.0055||0.21|8|0.18|24
GME211223C00100000||||57.00|57.00|22|0.00|0.0000|0|65|0|0|0.8626|0.0030|0.0080|-2.0260|0.0348||53.00|20|49.50|16
GME211223P00100000|0.25|0.36|0.22|0.35|0.24|22|-0.11|-0.3143|334|1684|1|493|-0.0165|0.0013|-0.0003|-0.1586|0.0065||0.25|2|0.22|7
GME211223C00105000||||44.70|44.70|21|0.00|0.0000|0|2|0|0|0.9700|0.0023|0.0110|-0.2568|0.0107||48.05|16|44.45|17
GME211223P00105000|0.29|0.50|0.29|0.50|0.33|21|-0.17|-0.3400|6|41|1|15|-0.0253|0.0020|-0.0004|-0.2133|0.0093||0.34|9|0.28|5
GME211223C00110000||||||20||||0|0|0|1.0000|0.0000|0.0121|-0.0004|0.0000||43.20|17|39.75|12
GME211223P00110000|0.43|0.61|0.37|0.76|0.41|20|-0.35|-0.4605|12|958|1|312|-0.0302|0.0025|-0.0005|-0.2298|0.0108||0.42|14|0.36|5
GME211223C00115000||||29.85|29.85|19|0.00|0.0000|0|2|0|0|0.9950|0.0009|0.0125|-0.0291|0.0023||38.30|24|34.80|12
GME211223P00115000|0.70|0.88|0.51|0.85|0.51|19|-0.34|-0.4000|30|67|1|98|-0.0432|0.0037|-0.0008|-0.2812|0.0144||0.50|13|0.46|11
GME211223C00120000|35.50|35.50|35.50|35.50|35.50|18|0.00|0.0000|4|43|1|1|0.8228|0.0058|0.0097|-1.4612|0.0411||33.45|25|30.00|13
GME211223P00120000|0.97|1.23|0.60|1.11|0.63|18|-0.48|-0.4324|230|784|1|284|-0.0514|0.0047|-0.0009|-0.2957|0.0167||0.67|21|0.60|19
GME211223C00130000|22.75|22.75|22.75|28.25|22.75|17|-5.50|-0.1947|-9|54|1|1|0.8425|0.0097|0.0114|-0.7459|0.0381||22.70|17|20.65|16
GME211223P00130000|2.13|2.13|1.11|1.70|1.20|17|-0.50|-0.2941|128|1255|5|255|-0.1045|0.0095|-0.0018|-0.4343|0.0287||1.27|12|1.17|22
GME211223C00135000||||14.00|14.00|16|0.00|0.0000|10|10|0|0|0.9560|0.0098|0.0141|-0.1114|0.0146||19.45|34|16.30|13
GME211223P00135000|2.16|2.40|1.59|2.10|1.90|16|-0.20|-0.0952|192|244|3|151|-0.1713|0.0142|-0.0030|-0.5708|0.0400||1.94|17|1.74|46
GME211223C00136000||||23.45|23.45|15|0.00|0.0000|2|14|0|0|0.6924|0.0087|0.0088|-1.7740|0.0553||18.60|44|15.40|16
GME211223P00136000|1.96|2.41|1.85|1.86|1.91|15|0.05|0.0269|0|29|2|56|-0.1806|0.0151|-0.0032|-0.5713|0.0413||2.16|53|1.83|50
GME211223C00137000||||||14||||0|0|0|1.0000|0.0000|0.0150|-0.0005|0.0000||17.75|31|14.55|16
GME211223P00137000|2.31|2.31|2.11|2.90|2.11|14|-0.79|-0.2724|15|17|1|14|-0.1967|0.0160|-0.0035|-0.5991|0.0436||2.32|40|1.99|48
GME211223C00138000||||13.90|13.90|13|0.00|0.0000|0|13|0|0|0.8180|0.0179|0.0120|-0.4877|0.0415||17.05|44|14.00|13
GME211223P00138000|2.49|2.50|2.30|2.90|2.50|13|-0.40|-0.1379|-1|67|1|19|-0.2195|0.0167|-0.0039|-0.6553|0.0465||2.48|6|2.22|57
GME211223C00139000|19.45|19.45|17.75|11.40|17.75|12|6.35|0.5570|0|1|1|4|0.6889|0.0121|0.0094|-1.2953|0.0555||16.25|45|13.05|24
GME211223P00139000|3.00|3.14|2.41|2.90|2.61|12|-0.29|-0.1000|2|49|1|21|-0.2333|0.0177|-0.0041|-0.6613|0.0481||2.76|39|2.39|53
GME211223C00140000|17.00|20.20|14.88|18.10|14.94|11|-3.16|-0.1746|0|115|1|46|0.7187|0.0145|0.0102|-0.9792|0.0534||14.30|37|12.50|47
GME211223P00140000|3.80|3.80|2.32|2.86|2.81|11|-0.05|-0.0175|60|623|5|314|-0.2307|0.0177|-0.0041|-0.6522|0.0482||2.99|18|2.66|18
GME211223C00141000|12.60|12.60|12.60|9.65|12.60|10|2.95|0.3057|5|5|1|8|0.7199|0.0186|0.0105|-0.7611|0.0529||14.55|66|11.55|39
GME211223P00141000|2.90|3.00|2.85|3.25|3.00|10|-0.25|-0.0769|29|30|1|4|-0.2674|0.0197|-0.0047|-0.6870|0.0517||3.35|65|2.57|104
GME211223C00142000|15.50|15.50|12.30|11.00|12.30|9|1.30|0.1182|5|6|4|21|0.6916|0.0183|0.0100|-0.8454|0.0553||13.00|46|11.05|23
GME211223P00142000|3.46|3.55|2.57|3.72|3.50|9|-0.22|-0.0591|62|75|1|20|-0.2934|0.0200|-0.0052|-0.7419|0.0541||3.55|6|3.15|48
GME211223C00143000|17.40|17.40|17.40|15.00|17.40|8|2.40|0.1600|1|16|1|1|0.6280|0.0109|0.0084|-1.6446|0.0595||12.95|45|10.20|27
GME211223P00143000|3.40|3.40|3.40|4.60|3.40|8|-1.20|-0.2609|0|4|1|1|-0.3045|0.0219|-0.0054|-0.6994|0.0550||3.90|32|3.35|65
GME211223C00144000|11.30|11.30|11.30|8.72|11.30|7|2.58|0.2959|1|2|1|2|0.6484|0.0186|0.0094|-0.9269|0.0583||12.55|52|9.50|45
GME211223P00144000|4.65|4.65|3.30|3.70|4.00|7|0.30|0.0811|9|51|2|158|-0.3328|0.0218|-0.0059|-0.7576|0.0571||4.25|20|3.95|1
GME211223C00145000|11.58|11.58|9.87|15.45|9.87|6|-5.58|-0.3612|29|343|1|5|0.6384|0.0211|0.0094|-0.8322|0.0589||11.05|51|9.05|51
GME211223P00145000|3.75|5.20|3.55|4.15|4.50|6|0.35|0.0843|147|480|1|124|-0.3575|0.0220|-0.0064|-0.7925|0.0587||4.65|8|4.40|1
GME211223C00146000|11.25|11.25|9.40|14.50|9.40|5|-5.10|-0.3517|10|49|1|10|0.6152|0.0211|0.0091|-0.8649|0.0601||10.45|62|8.70|45
GME211223P00146000|5.00|5.00|4.10|4.87|4.35|5|-0.52|-0.1068|22|24|1|20|-0.3734|0.0244|-0.0066|-0.7348|0.0595||5.20|80|4.50|70
GME211223C00147000|12.16|12.16|8.45|13.85|8.45|4|-5.40|-0.3899|-2|9|2|15|0.5960|0.0226|0.0089|-0.8291|0.0609||9.80|68|8.00|56
GME211223P00147000|5.20|5.65|4.30|4.90|4.95|4|0.05|0.0102|11|12|1|101|-0.4004|0.0242|-0.0071|-0.7727|0.0607||5.55|12|4.90|72
GME211223C00148000|12.39|12.39|9.00|13.98|9.25|3|-4.73|-0.3383|1|29|1|7|0.5690|0.0191|0.0083|-1.0115|0.0618||8.75|38|7.70|32
GME211223P00148000|5.75|6.05|4.95|5.17|5.65|3|0.48|0.0928|30|32|1|17|-0.4264|0.0235|-0.0076|-0.8160|0.0616||5.95|6|5.30|62
GME211223C00149000|11.85|11.85|8.95|12.00|8.95|2|-3.05|-0.2542|1|47|1|8|0.5498|0.0187|0.0081|-1.0462|0.0622||8.80|80|7.10|53
GME211223P00149000|5.20|6.70|5.00|5.93|6.70|2|0.77|0.1298|56|57|2|20|-0.4506|0.0219|-0.0081|-0.8961|0.0622||6.55|31|5.90|27
GME211223C00150000|8.00|12.60|7.00|12.10|7.09|1|-5.01|-0.4140|294|758|1|145|0.5508|0.0222|0.0083|-0.8821|0.0626||7.70|24|6.80|19
GME211223P00150000|7.30|7.33|4.90|6.30|6.60|1|0.30|0.0476|96|485|3|307|-0.4488|0.0236|-0.0081|-0.8272|0.0626||6.85|1|6.60|4
GME211223C00152500|9.20|10.42|6.00|11.00|6.15|1|-4.85|-0.4409|28|91|2|209|0.4733|0.0218|0.0071|-0.9084|0.0626||6.60|44|5.80|23
GME211223P00152500|6.70|9.13|6.26|6.80|8.60|1|1.80|0.2647|21|77|1|51|-0.5266|0.0218|-0.0096|-0.9085|0.0626||8.60|48|7.60|88
GME211223C00155000|6.62|11.06|5.10|9.30|5.31|2|-3.99|-0.4290|201|455|1|252|0.4236|0.0209|0.0064|-0.9160|0.0616||5.50|21|5.05|4
GME211223P00155000|9.89|10.10|6.95|7.83|9.90|2|2.07|0.2644|227|368|1|629|-0.5824|0.0219|-0.0107|-0.8703|0.0614||10.25|37|9.20|49
GME211223C00157500|6.84|10.05|4.35|8.00|4.45|3|-3.55|-0.4438|83|171|1|153|0.3739|0.0203|0.0057|-0.8856|0.0596||4.80|47|4.30|36
GME211223P00157500|10.48|11.00|8.50|10.10|11.00|3|0.90|0.0891|48|81|1|18|-0.6475|0.0224|-0.0119|-0.7676|0.0584||12.10|26|9.75|72
