symbol|open|high|low|preClose|close|activeLevel|change|changeRatio|openIntChange|openInterest|latestPriceVol|volume|delta|gamma|rho|theta|vega|tradeStamptradeTime|ask|avol|bid|bvol
GME211231C00040000||||||32||||0|0|0|1.0000|0.0000|0.0022|-0.0001|0.0000||115.30|13|111.40|27
GME211231P00040000||||0.01|0.01|32|||-1|13|0|0|-0.0004|0.0000|0.0000|-0.0268|0.0002||0.01|520|0.00|0
GME211231C00050000||||||31||||0|0|0|1.0000|0.0000|0.0027|-0.0002|0.0000||105.30|13|101.50|27
GME211231P00050000||||0.01|0.01|31|||0|263|0|0|-0.0005|0.0000|0.0000|-0.0265|0.0002||0.01|10|0.00|0
GME211231C00060000||||||30||||0|0|0|1.0000|0.0000|0.0033|-0.0002|0.0000||95.30|13|91.35|27
GME211231P00060000||||0.01|0.01|30|||1|3|0|0|-0.0006|0.0000|0.0000|-0.0255|0.0002||0.02|50|0.00|0
GME211231C00070000||||||29|||0|0|0|0|1.0000|0.0000|0.0038|-0.0003|0.0000||85.30|13|81.40|27
GME211231P00070000||||0.01|0.01|29|||2|327|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|1|0.00|0
GME211231C00075000||||76.03|76.03|28|||0|10|0|0|1.0000|0.0000|0.0041|-0.0003|0.0000||80.30|18|76.30|37
GME211231P00075000||||0.01|0.01|28|||0|43|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.05|100|0.00|0
GME211231C00080000||||70.99|70.99|27|||0|10|0|0|1.0000|0.0000|0.0044|-0.0003|0.0000||75.30|17|71.45|39
GME211231P00080000||||0.02|0.02|27|||-83|163|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.05|100|0.00|0
GME211231C00085000||||||26|||0|0|0|0|1.0000|0.0000|0.0047|-0.0003|0.0000||70.30|16|66.45|37
GME211231P00085000|0.01|0.01|0.01|0.01|0.01|26|||-57|514|9|10|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|1|0.00|0
GME211231C00090000||||||25|||0|0|0|0|1.0000|0.0000|0.0049|-0.0006|0.0000||65.30|16|61.40|37
GME211231P00090000|0.03|0.03|0.03|0.02|0.03|25|0.01|0.5000|11|97|20|20|0.0000|0.0000|0.0000|0.0000|0.0000||0.05|100|0.00|0
GME211231C00095000||||||24|||0|0|0|0|1.0000|0.0000|0.0052|-0.0007|0.0000||60.30|16|56.50|27
GME211231P00095000||||0.03|0.03|24|||2|168|0|0|0.0000|0.0000|0.0000|-0.0001|0.0000||0.06|1|0.01|12
GME211231C00100000||||44.66|44.66|23|||-10|8|0|0|1.0000|0.0000|0.0055|-0.0011|0.0000||55.30|20|51.45|27
GME211231P00100000|0.08|0.08|0.01|0.03|0.02|23|-0.01|-0.3333|440|1784|1|4|0.0000|0.0000|0.0000|-0.0002|0.0000||0.03|1|0.01|38
GME211231C00105000||||||22|||0|0|0|0|0.9999|0.0000|0.0058|-0.0015|0.0000||50.30|16|46.45|27
GME211231P00105000|0.03|0.03|0.03|0.05|0.03|22|-0.02|-0.4000|-38|164|2|2|0.0000|0.0000|0.0000|-0.0007|0.0000||0.07|73|0.02|37
GME211231C00110000||||40.15|40.15|21|||0|3|0|0|0.9999|0.0000|0.0060|-0.0020|0.0001||45.30|20|41.45|27
GME211231P00110000|0.08|0.08|0.06|0.09|0.06|21|-0.03|-0.3333|8|548|1|20|-0.0001|0.0000|0.0000|-0.0008|0.0000||0.04|1|0.03|12
GME211231C00115000||||35.25|35.25|20|||0|1|0|0|0.9999|0.0000|0.0063|-0.0015|0.0000||40.30|20|36.65|37
GME211231P00115000|0.05|0.06|0.03|0.10|0.03|20|-0.07|-0.7000|28|394|4|16|-0.0003|0.0001|0.0000|-0.0038|0.0001||0.07|3|0.04|18
GME211231C00120000||||31.55|31.55|19|||-1|8|0|0|0.9988|0.0003|0.0066|-0.0127|0.0004||35.35|19|31.70|22
GME211231P00120000|0.11|0.14|0.06|0.14|0.12|19|-0.02|-0.1429|611|2080|1|95|-0.0011|0.0003|0.0000|-0.0112|0.0004||0.13|27|0.07|14
GME211231C00130000||||23.85|23.85|18|||-37|37|0|0|0.9960|0.0012|0.0071|-0.0301|0.0014||25.45|21|21.55|67
GME211231P00130000|0.20|0.37|0.13|0.33|0.16|18|-0.17|-0.5152|-63|1999|1|66|-0.0103|0.0024|-0.0001|-0.0781|0.0031||0.15|10|0.12|24
GME211231C00135000||||13.00|13.00|17|||0|37|0|0|0.9851|0.0039|0.0073|-0.0913|0.0043||20.60|20|16.60|72
GME211231P00135000|0.40|0.40|0.22|0.43|0.22|17|-0.21|-0.4884|54|2262|2|87|-0.0233|0.0052|-0.0002|-0.1451|0.0063||0.28|2|0.20|1
GME211231C00136000|18.80|18.80|18.80|11.65|18.80|16|7.15|0.6137|0|5|2|2|0.9800|0.0050|0.0073|-0.1171|0.0055||19.60|21|15.60|59
GME211231P00136000|0.47|0.47|0.25|0.50|0.25|16|-0.25|-0.5000|16|426|1|37|-0.0281|0.0062|-0.0002|-0.1676|0.0074||0.34|66|0.18|48
GME211231C00137000|17.38|17.38|17.38|11.87|17.38|15|5.51|0.4642|1|4|1|1|0.9742|0.0063|0.0073|-0.1447|0.0069||18.65|19|14.75|21
GME211231P00137000|0.58|0.58|0.24|0.52|0.24|15|-0.28|-0.5385|54|265|1|40|-0.0365|0.0077|-0.0003|-0.2088|0.0091||0.52|118|0.20|10
GME211231C00138000|16.38|16.85|16.00|10.97|16.85|14|5.88|0.5360|2|4|2|4|0.9519|0.0094|0.0071|-0.2655|0.0114||16.85|15|13.95|46
