symbol|open|high|low|preClose|close|activeLevel|change|changeRatio|openIntChange|openInterest|latestPriceVol|volume|delta|gamma|rho|theta|vega|tradeStamptradeTime|ask|avol|bid|bvol
GME211210C00100000||||65.54|65.54|10|0.00|0.0000|1|2|0|0|0.8549|0.0018|0.0084|-2.9126|0.0447||75.50|1|60.50|1
GME211210P00100000|1.49|1.50|1.49|1.45|1.49|10|0.04|0.0276|481|720|2|12|-0.0421|0.0016|-0.0011|-0.4970|0.0176||1.60|1|1.49|12
GME211210C00110000||||76.13|76.13|9|0.00|0.0000|0|2|0|0|0.8383|0.0024|0.0097|-2.5506|0.0480||67.25|7|49.60|7
GME211210P00110000||||1.80|1.80|9|0.00|0.0000|89|304|0|0|-0.0587|0.0024|-0.0015|-0.5815|0.0229||4.35|15|0.72|15
GME211210C00120000||||56.97|56.97|8|0.00|0.0000|0|1|0|0|0.8755|0.0036|0.0130|-1.1668|0.0402||57.85|6|40.20|7
GME211210P00120000|2.50|2.50|2.50|2.43|2.50|8|0.07|0.0288|529|792|1|1|-0.0861|0.0035|-0.0023|-0.7140|0.0308||2.94|10|1.44|10
GME211210C00130000||||||7||||0|0|0|1.0000|0.0000|0.0178|-0.0004|0.0000||48.80|6|31.15|7
GME211210P00130000||||3.10|3.10|7|0.00|0.0000|414|845|0|0|-0.1218|0.0050|-0.0032|-0.8217|0.0396||4.40|1|3.25|2
