symbol|open|high|low|preClose|close|activeLevel|change|changeRatio|openIntChange|openInterest|latestPriceVol|volume|delta|gamma|rho|theta|vega|tradeStamptradeTime|ask|avol|bid|bvol
GME210924C00010000||||||50|||||0|0|1.0000|0.0000|0.0005|0.0000|0.0000||185.30|15|181.15|1
GME210924P00010000|0.01|0.01|0.01|0.01|0.01|50|0.00|0.0000|0|22|1|4|0.0000|0.0000|0.0000|-0.0002|0.0000||0.01|110|0.00|0
GME210924C00015000||||||49|||||0|0|1.0000|0.0000|0.0008|0.0000|0.0000||180.30|15|175.40|20
GME210924P00015000|0.01|0.01|0.01|0.01|0.01|49|0.00|0.0000|0|4|2|4|0.0000|0.0000|0.0000|-0.0018|0.0000||0.01|55|0.00|0
GME210924C00020000||||||48|||||0|0|1.0000|0.0000|0.0011|0.0000|0.0000||175.30|15|170.40|21
GME210924P00020000|0.01|0.01|0.01|0.01|0.01|48|0.00|0.0000|0|5|3|5|-0.0002|0.0000|0.0000|-0.0303|0.0001||0.01|55|0.00|0
GME210924C00025000||||||47|||||0|0|1.0000|0.0000|0.0014|0.0000|0.0000||170.30|10|165.40|21
GME210924P00025000||||||47|||||0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|40|0.00|0
GME210924C00030000||||||46|||||0|0|1.0000|0.0000|0.0016|-0.0001|0.0000||165.25|10|160.40|21
GME210924P00030000|0.01|0.01|0.01|0.01|0.01|46|0.00|0.0000|0|22|1|10|-0.0003|0.0000|0.0000|-0.0282|0.0001||0.01|35|0.00|0
GME210924C00035000|157.54|157.54|157.54|157.54|157.54|45|0.00|0.0000|0|1|1|1|0.9976|0.0001|0.0019|-0.2468|0.0011||160.30|15|155.40|21
GME210924P00035000||||0.51|0.51|45|0.00|0.0000|0|4|0|0|-0.0022|0.0001|0.0000|-0.2244|0.0010||0.01|25|0.00|0
GME210924C00040000||||||44|||||0|0|1.0000|0.0000|0.0022|-0.0001|0.0000||155.25|10|150.40|21
GME210924P00040000|0.01|0.01|0.01|0.01|0.01|44|0.00|0.0000|0|8|4|5|-0.0003|0.0000|0.0000|-0.0265|0.0002||0.02|100|0.00|0
GME210924C00045000||||||43|||||0|0|1.0000|0.0000|0.0025|-0.0001|0.0000||150.30|10|145.40|19
GME210924P00045000||||||43|||||0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.02|100|0.00|0
GME210924C00050000||||||42|||||0|0|1.0000|0.0000|0.0027|-0.0001|0.0000||145.15|27|140.75|35
GME210924P00050000|0.01|0.06|0.01|0.01|0.01|42|0.00|0.0000|0|991|1|778|-0.0004|0.0000|0.0000|-0.0282|0.0002||0.01|1|0.00|0
GME210924C00055000||||||41|||||0|0|1.0000|0.0000|0.0030|-0.0001|0.0000||140.15|15|135.40|33
GME210924P00055000|0.02|0.02|0.01|0.01|0.01|41|0.00|0.0000|0|23|1|2|-0.0004|0.0000|0.0000|-0.0288|0.0002||0.02|100|0.00|0
GME210924C00060000||||||40|||||0|0|1.0000|0.0000|0.0033|-0.0001|0.0000||135.15|28|130.40|33
GME210924P00060000|0.02|0.02|0.02|0.04|0.02|40|-0.02|-0.5000|0|170|3|3|-0.0008|0.0000|0.0000|-0.0516|0.0004||0.02|297|0.00|0
GME210924C00065000||||||39|||||0|0|1.0000|0.0000|0.0036|-0.0001|0.0000||130.15|14|125.40|29
GME210924P00065000|0.01|0.01|0.01|0.01|0.01|39|0.00|0.0000|20|210|2|20|-0.0005|0.0000|0.0000|-0.0283|0.0002||0.02|100|0.00|0
GME210924C00070000||||138.50|138.50|38|0.00|0.0000|0|1|0|0|0.9677|0.0006|0.0034|-2.3449|0.0103||125.15|20|121.30|28
GME210924P00070000|0.01|0.01|0.01|0.01|0.01|38|0.00|0.0000|6|171|2|12|-0.0005|0.0000|0.0000|-0.0267|0.0002||0.01|58|0.00|0
GME210924C00075000||||||37|||||0|0|1.0000|0.0000|0.0041|-0.0001|0.0000||120.15|28|115.40|33
GME210924P00075000|0.01|0.01|0.01|0.01|0.01|37|0.00|0.0000|-2|305|2|30|-0.0005|0.0000|0.0000|-0.0263|0.0003||0.07|12|0.00|0
GME210924C00080000||||||36|||||0|0|1.0000|0.0000|0.0044|-0.0002|0.0000||115.10|20|111.30|28
GME210924P00080000|0.02|0.02|0.01|0.01|0.01|36|0.00|0.0000|2|267|1|3|-0.0005|0.0000|0.0000|-0.0264|0.0003||0.01|1|0.00|0
GME210924C00085000||||||35|||||0|0|1.0000|0.0000|0.0047|-0.0002|0.0000||110.15|27|105.75|30
GME210924P00085000|0.02|0.02|0.02|0.02|0.02|35|0.00|0.0000|-1|445|1|1|-0.0012|0.0001|0.0000|-0.0526|0.0006||0.07|15|0.00|0
GME210924C00090000||||||34|||||0|0|1.0000|0.0000|0.0049|-0.0002|0.0000||105.15|28|101.30|28
GME210924P00090000|0.02|0.02|0.02|0.02|0.02|34|0.00|0.0000|-6|64|11|11|-0.0011|0.0001|0.0000|-0.0473|0.0005||0.09|13|0.00|0
GME210924C00095000|105.39|105.39|105.39|105.39|105.39|33|0.00|0.0000|0|2|1|1|0.9130|0.0012|0.0039|-5.3855|0.0226||100.15|20|96.40|28
GME210924P00095000|0.03|0.03|0.03|0.03|0.03|33|0.00|0.0000|-1|75|1|2|-0.0017|0.0001|0.0000|-0.0664|0.0008||0.10|15|0.00|0
GME210924C00100000|87.00|87.00|87.00|87.00|87.00|32|0.00|0.0000|-1|15|1|1|0.9278|0.0013|0.0045|-3.7018|0.0197||95.15|28|91.40|28
GME210924P00100000|0.01|0.01|0.01|0.02|0.01|32|-0.01|-0.5000|-8|1498|10|31|-0.0007|0.0001|0.0000|-0.0243|0.0003||0.02|79|0.01|5
GME210924C00105000|83.02|83.02|83.02|83.02|83.02|31|0.00|0.0000|0|1|1|1|0.9928|0.0004|0.0057|-0.2545|0.0029||90.15|21|86.50|28
GME210924P00105000|0.11|0.11|0.11|0.11|0.11|31|0.00|0.0000|0|63|4|5|-0.0057|0.0003|-0.0001|-0.1995|0.0023||0.11|13|0.00|0
GME210924C00110000||||48.00|48.00|30|0.00|0.0000|0|1|0|0|1.0000|0.0000|0.0060|-0.0002|0.0000||85.15|28|81.70|15
GME210924P00110000|0.04|0.04|0.04|0.04|0.04|30|0.00|0.0000|-19|176|19|20|-0.0026|0.0002|0.0000|-0.0817|0.0012||0.11|15|0.01|1
GME210924C00115000||||||29|||||0|0|1.0000|0.0000|0.0063|-0.0002|0.0000||80.15|28|76.00|28
GME210924P00115000|0.07|0.09|0.06|0.06|0.06|29|0.00|0.0000|59|318|37|62|-0.0039|0.0003|0.0000|-0.1141|0.0017||0.10|14|0.00|0
GME210924C00120000|73.05|73.05|73.05|73.05|73.05|28|0.00|0.0000|0|1|1|1|0.9928|0.0005|0.0065|-0.1952|0.0028||75.15|28|71.75|15
GME210924P00120000|0.10|0.10|0.02|0.02|0.02|28|0.00|0.0000|20|342|8|41|-0.0016|0.0002|0.0000|-0.0418|0.0007||0.11|13|0.02|30
GME210924C00125000||||87.55|87.55|27|0.00|0.0000|0|1|0|0|0.8395|0.0019|0.0043|-7.6997|0.0349||70.15|28|66.75|15
GME210924P00125000|0.04|0.05|0.03|0.07|0.05|27|-0.02|-0.2857|6|177|5|22|-0.0038|0.0004|0.0000|-0.0932|0.0016||0.09|15|0.01|18
GME210924C00130000|60.75|60.75|60.75|60.75|60.75|26|0.00|0.0000|0|32|1|2|0.9892|0.0008|0.0070|-0.2464|0.0041||65.20|21|61.45|28
GME210924P00130000|0.13|0.17|0.11|0.11|0.11|26|0.00|0.0000|-14|453|10|104|-0.0080|0.0007|-0.0001|-0.1802|0.0031||0.21|31|0.02|32
GME210924C00135000||||78.52|78.52|25|0.00|0.0000|0|4|0|0|0.8063|0.0021|0.0042|-9.1446|0.0393||60.20|32|56.50|33
GME210924P00135000|0.15|0.15|0.15|0.12|0.15|25|0.03|0.2500|4|244|50|58|-0.0111|0.0009|-0.0001|-0.2293|0.0042||0.25|40|0.01|41
GME210924C00140000||||74.04|74.04|24|0.00|0.0000|0|101|0|0|0.7933|0.0022|0.0043|-9.0893|0.0408||55.20|31|51.45|32
GME210924P00140000|0.09|0.09|0.09|0.15|0.09|24|-0.06|-0.4000|499|944|3|4|-0.0079|0.0008|-0.0001|-0.1434|0.0031||0.18|33|0.07|15
GME210924C00145000|57.90|58.04|56.80|58.01|58.01|23|0.00|0.0000|0|57|1|50|0.8141|0.0033|0.0054|-5.4276|0.0383||50.25|32|46.80|26
GME210924P00145000|0.30|0.30|0.14|0.14|0.14|23|0.00|0.0000|11|1206|1|15|-0.0125|0.0013|-0.0001|-0.2062|0.0046||0.18|27|0.07|29
GME210924C00150000|43.60|43.60|43.60|41.45|43.60|22|2.15|0.0519|0|52|1|1|0.9503|0.0033|0.0077|-0.8000|0.0147||45.30|39|41.90|17
GME210924P00150000|0.12|0.15|0.12|0.23|0.13|22|-0.10|-0.4348|393|1780|1|56|-0.0126|0.0015|-0.0001|-0.1831|0.0047||0.15|4|0.13|13
GME210924C00155000|36.45|36.45|36.45|36.45|36.45|20|0.00|0.0000|-1|26|1|1|0.9589|0.0035|0.0080|-0.5601|0.0126||40.35|32|36.85|27
GME210924P00155000|0.19|0.22|0.15|0.22|0.17|20|-0.05|-0.2273|14|374|1|4|-0.0171|0.0021|-0.0002|-0.2175|0.0060||0.19|5|0.17|5
GME210924C00160000|27.78|31.97|27.78|31.00|31.00|18|0.00|0.0000|-2|243|1|4|0.9696|0.0035|0.0084|-0.3437|0.0098||35.45|32|32.05|21
GME210924P00160000|0.18|0.28|0.18|0.30|0.28|18|-0.02|-0.0667|-7|700|1|2|-0.0230|0.0027|-0.0003|-0.2703|0.0079||0.25|7|0.20|12
GME210924C00162500|29.05|29.05|29.05|29.05|29.05|17|0.00|0.0000|-3|5|3|3|0.9553|0.0044|0.0084|-0.5104|0.0136||32.90|31|29.05|30
GME210924P00162500|0.50|0.50|0.34|0.36|0.36|17|0.00|0.0000|-5|146|1|12|-0.0369|0.0042|-0.0004|-0.3868|0.0115||0.25|1|0.20|16
GME210924C00165000|26.25|27.76|26.25|26.30|26.30|16|0.00|0.0000|-3|48|1|4|0.9614|0.0044|0.0086|-0.3979|0.0121||30.45|29|27.10|24
GME210924P00165000|0.21|0.36|0.21|0.35|0.26|16|-0.09|-0.2571|-46|440|3|46|-0.0303|0.0041|-0.0003|-0.2851|0.0098||0.28|1|0.23|12
GME210924C00167500|23.82|24.68|23.82|24.68|24.68|15|0.00|0.0000|-1|27|1|2|0.9147|0.0075|0.0082|-0.8164|0.0223||28.05|33|24.20|33
GME210924P00167500|0.22|0.33|0.22|0.37|0.31|15|-0.06|-0.1622|-48|151|1|9|-0.0371|0.0051|-0.0004|-0.3198|0.0116||0.37|10|0.25|19
GME210924C00170000|22.50|24.20|22.50|22.00|24.20|14|2.20|0.1000|0|233|1|3|0.8816|0.0090|0.0080|-1.0853|0.0283||25.05|43|22.50|7
GME210924P00170000|0.27|0.39|0.27|0.35|0.30|14|-0.05|-0.1429|-179|1678|1|161|-0.0387|0.0059|-0.0004|-0.2991|0.0120||0.35|1|0.30|27
GME210924C00172500|16.20|16.20|16.20|16.20|16.20|13|0.00|0.0000|0|4|1|1|0.9479|0.0078|0.0089|-0.3667|0.0152||23.10|36|19.30|28
GME210924P00172500|0.30|0.42|0.30|0.54|0.38|13|-0.16|-0.2963|58|578|6|9|-0.0501|0.0076|-0.0005|-0.3503|0.0148||0.44|11|0.31|23
GME210924C00175000|19.40|19.40|18.43|16.34|18.43|12|2.09|0.1279|0|86|1|3|0.9186|0.0107|0.0087|-0.5285|0.0215||20.15|36|16.80|44
GME210924P00175000|0.45|0.45|0.37|0.50|0.45|12|-0.05|-0.1000|145|903|80|126|-0.0616|0.0096|-0.0007|-0.3844|0.0174||0.45|1|0.38|12
GME210924C00177500|22.20|22.20|15.07|15.07|15.07|11|0.00|0.0000|0|14|1|4|0.8624|0.0142|0.0082|-0.8542|0.0314||18.20|41|14.40|35
GME210924P00177500|0.50|0.54|0.44|0.73|0.45|11|-0.28|-0.3836|257|870|1|20|-0.0482|0.0089|-0.0005|-0.2816|0.0145||0.59|17|0.45|17
GME210924C00180000|15.00|15.00|13.62|11.40|13.62|10|2.22|0.1947|-5|331|1|16|0.8771|0.0169|0.0085|-0.6141|0.0291||14.40|57|12.60|14
GME210924P00180000|0.71|0.71|0.50|0.95|0.64|10|-0.31|-0.3263|98|1280|1|92|-0.0962|0.0160|-0.0010|-0.4554|0.0244||0.67|12|0.56|16
GME210924C00182500|13.00|13.00|13.00|9.60|13.00|9|3.40|0.3542|-6|69|1|1|0.7508|0.0183|0.0072|-1.3759|0.0454||13.45|34|9.85|51
GME210924P00182500|0.75|0.93|0.69|1.36|0.84|9|-0.52|-0.3824|287|729|2|59|-0.0941|0.0167|-0.0010|-0.4211|0.0242||0.93|20|0.75|12
GME210924C00185000|10.50|10.50|8.90|7.10|9.30|8|2.20|0.3099|-4|217|1|8|0.7782|0.0263|0.0077|-0.8416|0.0425||9.75|28|8.25|18
