Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20210609|A|89484|36|197420|B,Q,N
20210609|AA|926783|7651|1944891|B,Q,N
20210609|AAA|8|0|12|Q,N
20210609|AAAU|76799|3395|112556|B,Q,N
20210609|AAC|5046|0|161125|Q,N
20210609|AAC/WS|688|0|7428|Q,N
20210609|AACG|4012|2|16886|Q,N
20210609|AACQ|218324|0|700827|B,Q,N
20210609|AACQU|2|0|844|Q
20210609|AACQW|51151|847|70460|Q,N
20210609|AAIC|55101|0|87839|Q,N
20210609|AAICpC|4771|0|7389|Q,N
20210609|AAL|3430218|10297|8320887|B,Q,N
20210609|AAMC|10796|5|30445|B,Q,N
20210609|AAME|9736|0|15719|B,Q,N
20210609|AAN|24119|100|43325|B,Q,N
20210609|AAOI|70664|0|138258|Q,N
20210609|AAON|13015|12|26014|Q,N
20210609|AAP|94980|0|172238|B,Q,N
20210609|AAPL|12646370|56234|22900801|B,Q,N
20210609|AAQC|2403|0|4269|Q,N
20210609|AAQC/WS|5630|0|5727|Q
20210609|AAT|18563|0|27092|Q,N
20210609|AAU|190932|21800|591375|B,Q,N
20210609|AAWW|38048|33|69169|B,Q,N
20210609|AAXJ|29888|0|318390|Q,N
20210609|AB|93209|3040|144197|B,Q,N
20210609|ABB|156882|30|253964|Q,N
20210609|ABBV|411908|47|1374711|B,Q,N
20210609|ABC|92323|0|134166|Q,N
20210609|ABCB|42638|0|77696|B,Q,N
20210609|ABCL|577660|0|1586844|B,Q,N
20210609|ABCM|45259|0|109789|Q,N
20210609|ABEO|305942|2783|585954|B,Q,N
20210609|ABEQ|817|0|819|Q
20210609|ABEV|3383015|5960|8114255|B,Q,N
20210609|ABG|12196|0|27509|B,Q,N
20210609|ABGI|200|0|204|Q
20210609|ABIO|38750|399|130875|Q,N
20210609|ABM|97846|324|151038|B,Q,N
20210609|ABMD|42795|0|70033|B,Q,N
20210609|ABNB|690598|6020|2265954|B,Q,N
20210609|ABR|263440|0|695764|Q,N
20210609|ABRpA|62|0|587|Q
20210609|ABRpB|394|0|907|Q
20210609|ABRpC|48|0|643|Q
20210609|ABRpD|15435|0|37214|Q,N
20210609|ABST|4508|0|6946|B,Q,N
20210609|ABT|1594186|2203|5237578|B,Q,N
20210609|ABTX|11645|0|15976|Q,N
20210609|ABUS|93735|4600|440696|B,Q,N
20210609|AC|4539|0|7740|Q,N
20210609|ACA|19749|319|54963|Q,N
20210609|ACAC|25814|0|377999|B,Q,N
20210609|ACACW|1226|0|2641|Q,N
20210609|ACAD|171983|6911|597025|B,Q,N
20210609|ACAHU|10502|0|13516|Q
20210609|ACAHW|6400|0|7000|Q,N
20210609|ACB|3921788|37428|7035654|B,Q,N
20210609|ACBAW|4150|0|35370|Q
