symbol|open|high|low|preClose|close|activeLevel|change|changeRatio|openIntChange|openInterest|latestPriceVol|volume|delta|gamma|rho|theta|vega|tradeStamptradeTime|ask|avol|bid|bvol
GME210730C00010000||||169.06|169.06|27|0.00|0.0000|0|1|0|0|1.0000|0.0000|0.0011|-0.0004|0.0000||176.75|16|168.50|17
GME210730P00010000||||0.01|0.01|27|0.00|0.0000|0|157|0|0|0.0000|0.0000|0.0000|-0.0005|0.0000||0.01|104|0.00|0
GME210730C00020000||||||26|||0|0|0|0|0.9999|0.0000|0.0022|-0.0082|0.0001||166.60|20|158.50|28
GME210730P00020000||||0.01|0.01|26|0.00|0.0000|0|585|0|0|0.0000|0.0000|0.0000|-0.0005|0.0000||0.01|29|0.00|0
GME210730C00030000||||||25|||0|0|0|0|0.9998|0.0000|0.0033|-0.0081|0.0001||156.80|16|148.50|21
GME210730P00030000|0.01|0.01|0.01|0.01|0.01|25|0.00|0.0000|255|492|5|11|-0.0001|0.0000|0.0000|-0.0061|0.0001||0.01|21|0.00|0
GME210730C00040000||||||24|||0|0|0|0|0.9998|0.0000|0.0044|-0.0080|0.0001||146.80|16|138.50|21
GME210730P00040000||||0.02|0.02|24|0.00|0.0000|9|232|0|0|-0.0001|0.0000|0.0000|-0.0032|0.0001||0.05|1|0.00|0
GME210730C00050000||||129.35|129.35|23|0.00|0.0000|1|2|0|0|0.9996|0.0000|0.0055|-0.0134|0.0003||136.05|29|130.75|30
GME210730P00050000|0.01|0.01|0.01|0.02|0.01|23|-0.01|-0.5000|41|1293|12|12|0.0000|0.0000|0.0000|-0.0009|0.0000||0.01|113|0.00|0
GME210730C00060000||||120.68|120.68|22|0.00|0.0000|0|1|0|0|0.9997|0.0000|0.0066|-0.0078|0.0002||126.35|29|120.75|30
GME210730P00060000||||0.03|0.03|22|0.00|0.0000|-1|376|0|0|-0.0002|0.0000|0.0000|-0.0049|0.0001||0.03|16|0.01|1
GME210730C00070000||||116.75|116.75|21|0.00|0.0000|0|2|0|0|0.9997|0.0000|0.0077|-0.0078|0.0002||114.70|23|110.75|30
GME210730P00070000||||0.01|0.01|21|0.00|0.0000|-23|528|0|0|-0.0003|0.0000|0.0000|-0.0069|0.0002||0.03|13|0.01|1
GME210730C00080000||||81.97|81.97|20|0.00|0.0000|-5|4|0|0|0.9995|0.0000|0.0088|-0.0107|0.0003||104.70|23|100.75|30
GME210730P00080000|0.01|0.01|0.01|0.02|0.01|20|-0.01|-0.5000|-22|582|9|9|-0.0003|0.0000|0.0000|-0.0055|0.0002||0.03|17|0.01|9
GME210730C00090000||||91.05|91.05|19|0.00|0.0000|0|28|0|0|0.9992|0.0001|0.0098|-0.0149|0.0005||94.70|29|90.75|30
GME210730P00090000|0.04|0.04|0.02|0.02|0.03|19|0.01|0.5000|-76|571|8|68|-0.0004|0.0000|0.0000|-0.0078|0.0003||0.03|17|0.02|55
GME210730C00100000||||77.90|77.90|18|0.00|0.0000|0|32|0|0|0.9985|0.0001|0.0109|-0.0236|0.0009||84.70|29|80.70|30
GME210730P00100000|0.02|0.03|0.02|0.04|0.03|18|-0.01|-0.2500|-181|1147|9|112|-0.0009|0.0001|0.0000|-0.0141|0.0006||0.04|12|0.01|15
GME210730C00110000||||||17|||0|0|0|0|0.9983|0.0002|0.0120|-0.0222|0.0010||74.70|29|70.70|30
GME210730P00110000|0.05|0.05|0.05|0.05|0.05|17|0.00|0.0000|-55|666|38|67|-0.0016|0.0002|0.0000|-0.0210|0.0010||0.05|1|0.03|50
GME210730C00120000||||59.95|59.95|16|0.00|0.0000|-1|16|0|0|0.9965|0.0004|0.0131|-0.0378|0.0020||64.75|29|60.80|30
GME210730P00120000|0.04|0.07|0.04|0.07|0.06|16|-0.01|-0.1429|-54|682|3|5|-0.0024|0.0003|-0.0001|-0.0255|0.0014||0.07|50|0.06|20
GME210730C00130000||||49.95|49.95|15|0.00|0.0000|0|61|0|0|0.9997|0.0001|0.0142|-0.0031|0.0002||54.75|29|50.65|30
GME210730P00130000|0.10|0.11|0.10|0.11|0.11|15|0.00|0.0000|-46|1748|1|4|-0.0055|0.0006|-0.0001|-0.0477|0.0030||0.12|12|0.09|25
GME210730C00140000||||39.34|39.34|14|0.00|0.0000|0|77|0|0|0.9883|0.0014|0.0151|-0.0818|0.0058||44.80|29|40.65|30
GME210730P00140000|0.23|0.23|0.15|0.15|0.20|14|0.05|0.3333|513|1798|1|99|-0.0081|0.0011|-0.0002|-0.0555|0.0042||0.20|22|0.12|26
GME210730C00150000||||33.07|33.07|13|0.00|0.0000|1|97|0|0|0.9873|0.0021|0.0162|-0.0652|0.0062||34.95|22|30.90|29
GME210730P00150000|0.35|0.37|0.17|0.28|0.33|13|0.05|0.1786|168|1791|1|73|-0.0235|0.0031|-0.0005|-0.1241|0.0106||0.39|30|0.24|1
GME210730C00152500||||||12|||||0|0|1.0000|0.0000|0.0167|-0.0004|0.0000||32.50|22|27.80|33
GME210730P00152500|0.33|0.33|0.33|0.39|0.33|12|-0.06|-0.1538||92|3|3|-0.0325|0.0041|-0.0007|-0.1599|0.0138||0.47|37|0.26|31
GME210730C00155000||||26.15|26.15|11|0.00|0.0000|0|23|0|0|0.9595|0.0052|0.0161|-0.1840|0.0165||30.05|22|26.00|29
GME210730P00155000|0.49|0.49|0.30|0.52|0.32|11|-0.20|-0.3846|182|604|1|52|-0.0381|0.0050|-0.0008|-0.1717|0.0157||0.43|1|0.20|32
GME210730C00157500||||||10|||||0|0|1.0000|0.0000|0.0173|-0.0004|0.0000||27.70|24|22.75|31
GME210730P00157500|0.47|0.50|0.46|0.55|0.50|10|-0.05|-0.0909||255|11|58|-0.0514|0.0065|-0.0011|-0.2136|0.0200||0.57|39|0.41|13
GME210730C00160000||||24.00|24.00|9|0.00|0.0000|-3|70|0|0|0.9370|0.0080|0.0162|-0.2383|0.0235||24.60|5|21.35|29
GME210730P00160000|0.66|0.66|0.50|0.65|0.60|9|-0.05|-0.0769|-42|1306|1|26|-0.0681|0.0083|-0.0014|-0.2599|0.0250||0.67|57|0.52|12
GME210730C00162500||||22.80|22.80|8|0.00|0.0000||1|0|0|0.8727|0.0115|0.0156|-0.4726|0.0396||23.05|28|19.00|28
GME210730P00162500|0.55|0.55|0.55|0.83|0.55|8|-0.28|-0.3373||514|1|1|-0.0852|0.0103|-0.0018|-0.2940|0.0296||0.85|37|0.60|34
GME210730C00165000||||21.90|21.90|7|0.00|0.0000|2|84|0|0|0.8733|0.0132|0.0154|-0.4093|0.0395||20.85|35|16.85|16
GME210730P00165000|1.00|1.01|0.87|1.05|0.87|7|-0.18|-0.1714|508|888|1|17|-0.1164|0.0130|-0.0024|-0.3675|0.0372||1.05|33|0.79|48
GME210730C00167500||||14.25|14.25|6|0.00|0.0000||1|0|0|0.8035|0.0153|0.0142|-0.6278|0.0526||18.70|28|14.45|28
GME210730P00167500|1.40|1.40|1.15|1.30|1.15|6|-0.15|-0.1154||158|1|6|-0.1424|0.0159|-0.0030|-0.3980|0.0428||1.49|33|1.11|12
GME210730C00170000|14.50|14.86|14.50|15.08|14.86|5|-0.22|-0.0146|-1|184|1|2|0.8168|0.0193|0.0148|-0.4559|0.0504||16.65|30|12.60|42
GME210730P00170000|1.66|1.85|1.38|1.73|1.54|5|-0.19|-0.1098|142|1071|1|26|-0.1968|0.0190|-0.0041|-0.5063|0.0527||1.75|40|1.45|14
GME210730C00172500||||12.42|12.42|4|0.00|0.0000||1|0|0|0.8152|0.0251|0.0151|-0.3552|0.0507||14.55|28|10.50|38
GME210730P00172500|1.98|2.43|1.98|2.30|2.26|4|-0.04|-0.0174||205|2|14|-0.2430|0.0223|-0.0051|-0.5488|0.0595||2.58|39|1.90|60
GME210730C00175000|10.00|10.00|9.60|11.15|9.60|3|-1.55|-0.1390|13|240|1|3|0.6963|0.0251|0.0128|-0.6088|0.0664||11.55|10|10.25|71
GME210730P00175000|2.50|3.00|2.50|3.00|2.86|3|-0.14|-0.0467|126|667|2|34|-0.3071|0.0247|-0.0064|-0.6254|0.0668||2.87|24|2.50|1
GME210730C00177500|10.00|10.00|9.08|11.00|9.08|2|-1.92|-0.1745|16|132|1|3|0.6285|0.0270|0.0117|-0.6610|0.0718||9.70|6|7.70|75
GME210730P00177500|3.20|4.10|3.20|3.85|3.50|2|-0.35|-0.0909|-69|299|1|11|-0.3736|0.0265|-0.0079|-0.6769|0.0720||4.25|46|3.20|40
GME210730C00180000|7.60|8.45|6.40|8.20|7.55|1|-0.65|-0.0793|106|813|1|31|0.5574|0.0275|0.0104|-0.7098|0.0750||8.15|13|7.25|60
GME210730P00180000|4.81|5.21|4.00|4.70|4.30|1|-0.40|-0.0851|487|1243|1|29|-0.4418|0.0283|-0.0093|-0.6890|0.0750||4.65|26|4.10|22
GME210730C00182500|6.25|7.10|5.65|6.65|6.18|1|-0.47|-0.0707|45|246|5|29|0.4882|0.0278|0.0091|-0.7164|0.0758||6.85|11|5.70|69
GME210730P00182500|5.21|6.30|5.21|6.05|5.53|1|-0.52|-0.0860|101|123|5|33|-0.5116|0.0276|-0.0109|-0.7197|0.0758||6.00|28|5.00|51
GME210730C00185000|5.20|6.24|4.50|5.70|5.38|2|-0.32|-0.0561|229|615|1|144|0.4197|0.0273|0.0079|-0.6991|0.0743||5.70|36|5.00|60
GME210730P00185000|7.19|8.00|5.85|7.60|6.75|2|-0.85|-0.1118|49|531|2|27|-0.5766|0.0264|-0.0123|-0.7246|0.0744||7.45|62|6.55|19
GME210730C00187500|4.40|5.00|3.70|4.69|4.35|3|-0.34|-0.0725|14|82|1|27|0.3598|0.0253|0.0068|-0.6906|0.0711||4.60|13|4.00|42
GME210730P00187500|9.40|9.40|9.40|9.10|9.40|3|0.30|0.0330|47|78|1|1|-0.6338|0.0245|-0.0137|-0.7222|0.0715||9.45|89|8.10|8
GME210730C00190000|3.90|4.10|2.92|4.00|3.60|4|-0.40|-0.1000|218|951|1|87|0.3024|0.0235|0.0057|-0.6486|0.0663||3.85|43|3.50|13
GME210730P00190000|11.17|11.17|11.17|10.57|11.17|4|0.60|0.0568|10|657|2|2|-0.6920|0.0230|-0.0150|-0.6713|0.0668||11.00|50|10.00|1
GME210730C00192500|3.30|3.30|2.70|3.25|3.00|5|-0.25|-0.0769|161|308|1|11|0.2486|0.0214|0.0047|-0.5877|0.0602||3.20|58|2.89|12
