symbol|open|high|low|preClose|close|activeLevel|change|changeRatio|openIntChange|openInterest|latestPriceVol|volume|delta|gamma|rho|theta|vega|tradeStamptradeTime|ask|avol|bid|bvol
GME220121C00000500||||123.50|123.50|50||0.0000|2|6|0|0|1.0000|0.0000|0.0001|0.0000|0.0000||119.40|11|112.80|15
GME220121P00000500|0.01|0.01|0.01|0.01|0.01|50|0.00|0.0000|0|136302|100|101|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|3643|0.00|0
GME220121C00001000||||133.25|133.25|50|||0|3|0|0|1.0000|0.0000|0.0001|-0.0001|0.0000||118.55|11|112.30|16
GME220121P00001000||||0.01|0.01|50|||0|29683|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|2274|0.00|0
GME220121C00001500||||306.50|306.50|50|||0|0|0|0|1.0000|0.0000|0.0002|0.0000|0.0000||118.75|10|111.20|25
GME220121P00001500||||0.01|0.01|50|||0|4325|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|2600|0.00|0
GME220121C00002000||||198.86|198.86|50|||0|1|0|0|1.0000|0.0000|0.0003|0.0000|0.0000||117.90|11|111.30|16
GME220121P00002000||||0.01|0.01|50||0.0000|0|16684|0|0|0.0000|0.0000|0.0000|-0.0003|0.0000||0.01|136|0.00|0
GME220121C00002500||||129.35|129.35|50|||0|0|0|0|1.0000|0.0000|0.0003|-0.0001|0.0000||117.75|13|110.80|15
GME220121P00002500||||0.01|0.01|50||0.0000|0|4337|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|495|0.00|0
GME220121C00003000||||172.47|172.47|50|||0|0|0|0|1.0000|0.0000|0.0004|-0.0002|0.0000||116.90|14|110.30|16
GME220121P00003000||||0.01|0.01|50|||0|6342|0|0|0.0000|0.0000|0.0000|-0.0002|0.0000||0.01|3065|0.00|0
GME220121C00003500||||160.90|160.90|49||0.0000|0|0|0|0|1.0000|0.0000|0.0005|0.0000|0.0000||116.75|13|109.80|15
GME220121P00003500||||0.01|0.01|49||0.0000|0|1962|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|2781|0.00|0
GME220121C00004000||||198.45|198.45|48||0.0000|0|3|0|0|1.0000|0.0000|0.0005|0.0000|0.0000||115.25|14|109.30|16
GME220121P00004000||||0.01|0.01|48||0.0000|0|4913|0|0|0.0000|0.0000|0.0000|0.0000|0.0000||0.01|1376|0.00|0
GME220121C00004500||||143.61|143.61|47|||0|52|0|0|1.0000|0.0000|0.0006|-0.0003|0.0000||113.80|14|108.80|16
GME220121P00004500||||0.01|0.01|47|||0|2005|0|0|0.0000|0.0000|0.0000|-0.0003|0.0000||0.01|100|0.00|0
GME220121C00005000||||142.93|142.93|46|||0|216|0|0|1.0000|0.0000|0.0007|-0.0003|0.0000||113.85|14|108.30|16
GME220121P00005000|0.01|0.01|0.01|0.01|0.01|46|||0|14211|1|1|0.0000|0.0000|0.0000|-0.0003|0.0000||0.01|139|0.00|0
GME220121C00005500||||38.00|38.00|45|||0|0|0|0|1.0000|0.0000|0.0008|-0.0003|0.0000||114.75|13|107.80|15
GME220121P00005500||||0.01|0.01|45|||0|2749|0|0|0.0000|0.0000|0.0000|-0.0003|0.0000||0.01|248|0.00|0
GME220121C00007000||||176.00|176.00|44|||0|8|0|0|1.0000|0.0000|0.0010|-0.0004|0.0000||112.25|14|106.30|16
GME220121P00007000||||0.01|0.01|44|||0|3620|0|0|0.0000|0.0000|0.0000|-0.0004|0.0000||0.01|100|0.00|0
GME220121C00010000||||135.00|135.00|43|||0|88|0|0|1.0000|0.0000|0.0014|-0.0006|0.0000||108.45|14|103.30|16
GME220121P00010000||||0.01|0.01|43|||0|8498|0|0|0.0000|0.0000|0.0000|-0.0005|0.0000||0.01|100|0.00|0
GME220121C00012000||||173.63|173.63|42|||0|8|0|0|1.0000|0.0000|0.0016|-0.0006|0.0000||106.25|14|101.30|16
GME220121P00012000||||0.01|0.01|42|||0|1329|0|0|0.0000|0.0000|0.0000|-0.0006|0.0000||0.01|20|0.00|0
GME220121C00015000||||113.39|113.39|41|||0|1744|0|0|1.0000|0.0000|0.0021|-0.0008|0.0000||104.75|13|98.35|16
GME220121P00015000||||0.01|0.01|41|||0|6482|0|0|0.0000|0.0000|0.0000|-0.0008|0.0000||0.01|1|0.00|0
GME220121C00017000||||162.00|162.00|40|||0|21|0|0|1.0000|0.0000|0.0023|-0.0010|0.0000||102.60|15|96.30|16
GME220121P00017000||||0.01|0.01|40|||0|841|0|0|0.0000|0.0000|0.0000|-0.0009|0.0000||0.01|1|0.00|0
GME220121C00020000||||126.44|126.44|39|||0|90|0|0|0.9999|0.0000|0.0027|-0.0013|0.0000||99.15|14|93.50|16
GME220121P00020000|0.01|0.01|0.01|0.01|0.01|39|||-1|4885|5|7|-0.0001|0.0000|0.0000|-0.0012|0.0000||0.02|100|0.00|0
GME220121C00022000||||132.45|132.45|38|||0|38|0|0|0.9999|0.0000|0.0030|-0.0014|0.0000||95.85|15|91.30|17
GME220121P00022000|0.01|0.02|0.01|0.02|0.02|38|0.00|0.0000|0|729|5|21|-0.0001|0.0000|0.0000|-0.0013|0.0000||0.02|100|0.01|75
GME220121C00025000||||151.00|151.00|37|||0|192|0|0|0.9999|0.0000|0.0034|-0.0019|0.0000||92.95|16|88.30|17
GME220121P00025000|0.03|0.03|0.03|0.01|0.03|37|0.02|2.0000|0|3074|1|1|-0.0001|0.0000|0.0000|-0.0017|0.0000||0.02|100|0.00|0
GME220121C00027000|87.50|87.50|87.50|130.75|87.50|36|-43.25|-0.3308|0|153|1|1|0.9999|0.0000|0.0037|-0.0021|0.0001||91.35|17|86.35|17
GME220121P00027000|0.03|0.03|0.03|0.01|0.03|36|0.02|2.0000|0|500|1|1|-0.0001|0.0000|0.0000|-0.0020|0.0001||0.02|100|0.00|0
GME220121C00030000||||97.98|97.98|35||0.0000|0|618|0|0|0.9683|0.0006|0.0033|-0.8338|0.0097||88.30|17|83.30|17
GME220121P00030000|0.02|0.05|0.01|0.01|0.03|35|0.02|2.0000|-31|4717|15|150|-0.0002|0.0000|0.0000|-0.0033|0.0001||0.02|100|0.01|60
GME220121C00032000||||95.98|95.98|34|||0|13|0|0|0.9998|0.0000|0.0044|-0.0032|0.0001||85.60|17|81.30|20
GME220121P00032000||||0.04|0.04|34|||0|262|0|0|-0.0002|0.0000|0.0000|-0.0031|0.0001||0.03|100|0.00|0
GME220121C00035000||||103.40|103.40|33|||0|843|0|0|0.9997|0.0000|0.0048|-0.0043|0.0001||83.10|17|78.30|17
GME220121P00035000|0.04|0.07|0.03|0.04|0.06|33|0.02|0.5000|0|976|1|80|-0.0003|0.0000|0.0000|-0.0041|0.0001||0.04|100|0.02|10
GME220121C00037000||||116.15|116.15|32|||-1|93|0|0|0.9997|0.0000|0.0051|-0.0051|0.0002||80.80|17|76.30|17
GME220121P00037000|0.04|0.09|0.03|0.06|0.03|32|-0.03|-0.5000|0|199|26|83|-0.0003|0.0000|0.0000|-0.0050|0.0002||0.05|100|0.03|10
GME220121C00040000|80.50|80.50|80.50|90.00|80.50|31|-9.50|-0.1056|0|445|1|1|0.9995|0.0000|0.0055|-0.0068|0.0002||78.00|15|73.30|17
GME220121P00040000|0.05|0.10|0.04|0.03|0.05|31|0.02|0.6667|0|1924|1|240|-0.0005|0.0000|0.0000|-0.0066|0.0002||0.05|100|0.03|4
GME220121C00042000||||79.30|79.30|30|||0|129|0|0|0.9994|0.0001|0.0057|-0.0081|0.0003||76.20|17|71.35|17
GME220121P00042000|0.05|0.10|0.05|0.05|0.06|30|0.01|0.2000|0|268|1|7|-0.0006|0.0001|0.0000|-0.0080|0.0003||0.07|4|0.05|4
GME220121C00045000||||99.88|99.88|29||0.0000|0|281|0|0|0.9194|0.0011|0.0037|-2.0259|0.0204||73.50|16|68.60|17
GME220121P00045000|0.15|0.15|0.04|0.07|0.10|29|0.03|0.4286|8|856|73|143|-0.0008|0.0001|0.0000|-0.0099|0.0004||0.09|4|0.06|13
GME220121C00047000||||100.80|100.80|28||0.0000|0|91|0|0|0.9136|0.0012|0.0037|-2.1399|0.0215||71.35|17|66.35|17
GME220121P00047000|0.07|0.16|0.07|0.05|0.12|28|0.07|1.4000|0|276|2|19|-0.0010|0.0001|0.0000|-0.0125|0.0005||0.11|4|0.08|10
GME220121C00050000||||77.93|77.93|27|||-1|559|0|0|0.9986|0.0001|0.0068|-0.0164|0.0006||68.25|16|64.65|14
