Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20210722|AABB|5824458|0|14784936|O
20210722|AABVF|135|0|1635|O
20210722|AACAY|538|0|11504|O
20210722|AACS|530256|0|842495|O
20210722|AACTF|26490|0|44194|O
20210722|AAEEF|2000|0|6608|O
20210722|AAGC|15273585|0|22994505|O
20210722|AAGFF|111502|0|139117|O
20210722|AAGIY|149801|0|344818|O
20210722|AAIGF|7256|0|23882|O
20210722|AAIRF|1000|0|2398|O
20210722|AAPJ|9312|0|50700|O
20210722|AAPT|19697253|0|31328853|O
20210722|AASZF|1061|0|1208|O
20210722|AATRL|304|0|492|O
20210722|AAVMY|3317|0|9884|O
20210722|AAVVF|2758|0|17280|O
20210722|AAWH|69558|0|89732|O
20210722|AAZZF|15906|0|54374|O
20210722|ABBRF|119599|0|387049|O
20210722|ABBY|10000|0|10000|O
20210722|ABCE|69000|0|246204|O
20210722|ABCFF|79501|0|170610|O
20210722|ABDR|200|0|200|O
20210722|ABEPF|1000|0|168883|O
20210722|ABILF|1000|0|1100|O
20210722|ABIT|5317|0|6261|O
20210722|ABLZF|2518|0|2617|O
20210722|ABMC|128962|0|191024|O
20210722|ABML|356364|0|829643|O
20210722|ABNAF|1216|0|6316|O
20210722|ABPR|1437959|0|2422767|O
20210722|ABQQ|548927|0|1170895|O
20210722|ABSCF|1288|0|1509|O
20210722|ABSSF|240|0|340|O
20210722|ABVC|6|0|606|O
20210722|ABWN|8241666|0|13419807|O
20210722|ABXXF|47972|0|103610|O
20210722|ACAN|2100|0|4952|O
20210722|ACAZF|16|0|1471|O
20210722|ACBM|669|0|2438|O
20210722|ACCMF|1000|0|76000|O
20210722|ACCR|15300|0|71263|O
20210722|ACCYY|630|0|767861|O
20210722|ACDVF|7439|0|21362|O
20210722|ACEJF|200|0|200|O
20210722|ACGBY|10524|0|22886|O
20210722|ACHFF|900|0|1900|O
20210722|ACKAY|57|0|65|O
20210722|ACKRF|83548|0|103982|O
20210722|ACLHF|7285|0|8285|O
20210722|ACLLF|1637|0|2536|O
20210722|ACMSY|88635|0|212102|O
20210722|ACNNF|1162|0|5422|O
20210722|ACOPF|2000|0|2000|O
20210722|ACOPY|434|0|503|O
20210722|ACRDF|11408|0|20992|O
20210722|ACRFF|100|0|100|O
20210722|ACRHF|59819|0|83454|O
20210722|ACRL|112070|0|280448|O
20210722|ACSAF|5|0|5|O
20210722|ACSAY|11841|0|26617|O
20210722|ACTL|3024500|0|8522335|O
20210722|ACTX|1050|0|1223|O
20210722|ACUR|1660|0|4546|O
20210722|ACUS|100|0|3100|O
20210722|ADBRF|1420|0|1420|O
20210722|ADCOF|1800|0|8662|O
20210722|ADDDF|109|0|113|O
20210722|ADDYY|15080|0|62849|O
20210722|ADFS|500|0|500|O
20210722|ADFT|800|0|1300|O
20210722|ADGO|92174346|0|273461876|O
20210722|ADHC|1502068|0|2412293|O
20210722|ADMLF|3400|0|10568|O
20210722|ADMQ|6700|0|149421|O
20210722|ADOM|236537|0|423970|O
20210722|ADRNY|23815|0|104925|O
20210722|ADSV|1074432|0|1407290|O
20210722|ADTM|38627399|0|127246871|O
20210722|ADVOF|200|0|200|O
20210722|ADVZF|21200|0|55700|O
20210722|ADYEY|115881|0|202109|O
20210722|ADYYF|22|0|283|O
20210722|AEBZY|1000|0|92717|O
20210722|AEGXF|600|0|700|O
20210722|AEMC|54559|0|86200|O
20210722|AEPT|238856|0|440443|O
20210722|AERG|8500|0|85620|O
20210722|AERS|176068|0|471487|O
20210722|AESEW|44410|0|88433|O
20210722|AETUF|29475|0|36003|O
20210722|AEXAY|8567|0|49709|O
20210722|AEXE|2099243|0|6034038|O
20210722|AFBG|2000|0|4000|O
20210722|AFFL|25000|0|30000|O
20210722|AFFN|4500|0|19900|O
20210722|AFFT|860|0|1524|O
20210722|AFHBL|100|0|1069|O
20210722|AFLYY|16439|0|55569|O
20210722|AFMJF|28700|0|54303|O
20210722|AFOM|20696642|0|40497612|O
20210722|AFPW|17186561|0|30342302|O
20210722|AFSIC|2843|0|4743|O
20210722|AFSIM|325|0|430|O
20210722|AFSIN|578|0|1900|O
20210722|AFSIP|2425|0|3754|O
20210722|AFTM|2078529|0|2220035|O
20210722|AFTPF|237|0|466|O
20210722|AFTPY|904|0|4899|O
20210722|AFYG|23100|0|26100|O
20210722|AGAUF|2000|0|6000|O
20210722|AGCBF|1500|0|1540|O
20210722|AGESY|6542|0|94738|O
20210722|AGFAF|263000|0|1078300|O
20210722|AGFMF|200|0|201|O
20210722|AGGFF|18958|0|20304|O
20210722|AGGI|110000|0|228100|O
20210722|AGHC|105|0|210|O
20210722|AGLXY|1083|0|5182|O
20210722|AGNMF|4200|0|14885|O
20210722|AGNPF|155226|0|318025|O
20210722|AGPIF|139|0|139|O
20210722|AGSO|40000|0|76680|O
20210722|AGTK|165062|0|269077|O
20210722|AGXKF|1754|0|1854|O
20210722|AGYP|68443|0|247861|O
20210722|AHCCF|400|0|400|O
20210722|AHCHF|2000|0|2100|O
20210722|AHCHY|21689|0|26128|O
20210722|AHELF|500|0|620|O
20210722|AHEXY|1004|0|8566|O
20210722|AHFD|686000|0|9793541|O
20210722|AHFI|18129|0|22347|O
20210722|AHKSF|2481|0|2570|O
20210722|AHKSY|14968|0|31643|O
20210722|AHODF|36|0|36|O
20210722|AHOTF|1800|0|29255|O
20210722|AILIH|100|0|100|O
20210722|AILIM|35|0|285|O
20210722|AILLN|180|0|370|O
20210722|AILLO|100|0|700|O
20210722|AILLP|100|0|100|O
20210722|AIMD|580|0|2590|O
20210722|AIMFF|1000|0|1000|O
20210722|AIMLF|9335|0|95099|O
20210722|AINSF|64200|0|94454|O
20210722|AIPUY|662|0|1088|O
20210722|AIQUF|105|0|142|O
20210722|AIQUY|41706|0|134748|O
20210722|AIRO|18|0|845|O
20210722|AIRRF|100|0|1400|O
20210722|AIRYY|5|0|8585|O
20210722|AISFF|89|0|89|O
