symbol|open|high|low|preClose|close|activeLevel|change|changeRatio|openIntChange|openInterest|latestPriceVol|volume|delta|gamma|rho|theta|vega|tradeStamptradeTime|ask|avol|bid|bvol
GME220211C00040000||||58.69|58.69|27|||-2|1|0|0|1.0000|0.0000|0.0000|-0.0138|0.0000||65.45|1|59.90|15
GME220211P00040000|0.02|0.05|0.01|0.05|0.01|27|-0.04|-0.8000|101|1132|1|215|-0.0005|0.0001|0.0000|-0.0037|0.0002||0.02|194|0.01|100
GME220211C00050000||||108.65|108.65|26|||0|0|0|0|0.9991|0.0002|0.0007|-0.0156|0.0003||55.50|1|49.85|15
GME220211P00050000|0.05|0.07|0.02|0.03|0.03|26|0.00|0.0000|4|3744|3|386|-0.0017|0.0002|0.0000|-0.0119|0.0005||0.03|7|0.01|11
GME220211C00060000||||87.55|87.55|25|||0|1|0|0|0.9951|0.0007|0.0019|-0.0360|0.0013||45.85|1|39.55|15
GME220211P00060000|0.12|0.12|0.06|0.15|0.06|25|-0.09|-0.6000|74|478|3|368|-0.0056|0.0007|-0.0001|-0.0348|0.0015||0.08|27|0.07|1
GME220211C00065000||||||24||||0|0|0|0.9916|0.0012|0.0025|-0.0529|0.0021||40.55|1|33.85|1
GME220211P00065000|0.35|0.35|0.10|0.19|0.11|24|-0.08|-0.4211|160|679|1|203|-0.0091|0.0012|-0.0001|-0.0516|0.0024||0.11|1|0.09|5
